frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
6276,6275,6280,2,1,HOLD_END,7136,false
6293,6292,6298,2,1,HOLD_END,7153,true
6309,6308,6313,2,1,HOLD_END,7133,true
6327,6326,6331,2,1,HOLD_END,7130,true
6343,6342,6348,2,1,HOLD_END,7121,true
6359,6358,6364,2,1,HOLD_END,7104,true
6376,6375,6379,2,1,HOLD_END,7099,true
6393,6392,6397,2,1,HOLD_END,7095,true
6410,6408,6415,2,1,HOLD_END,7100,true
6426,6425,6430,2,1,HOLD_END,7104,true
6442,6441,6446,2,1,HOLD_END,7101,true
6492,6491,6495,2,1,HOLD_END,7096,true
6510,6509,6513,2,1,HOLD_END,7108,true
6527,6526,6531,2,1,HOLD_END,7114,true
6543,6542,6547,2,1,HOLD_END,7125,true
6560,6559,6565,2,1,HOLD_END,7122,true
6576,6575,6580,2,1,HOLD_END,7125,true
6594,6592,6598,1,1,HOLD_START,6645,false
6626,6625,6631,2,1,HOLD_END,7117,true
6643,6642,6650,2,1,HOLD_END,7115,true
6659,6658,6666,2,1,HOLD_END,7113,true
6692,6691,6700,2,1,HOLD_END,7115,true
6709,6708,6716,2,1,HOLD_END,7122,true
6727,6725,6736,2,1,HOLD_END,7126,true
6759,6758,6765,2,1,HOLD_END,7136,true
6811,6809,6817,2,1,HOLD_END,7138,true
6843,6842,6852,2,1,HOLD_END,7143,true
6859,6858,6865,2,1,HOLD_END,7139,true
6875,6874,6893,2,1,HOLD_END,7136,true
6896,6891,6906,2,1,HOLD_END,7132,true
6926,6925,6945,2,1,HOLD_END,7137,true
6976,6975,6991,2,1,HOLD_END,7145,true
6993,6990,7001,2,1,HOLD_END,7143,true
7025,7024,7039,2,1,HOLD_END,7140,true
7043,7042,7052,2,1,HOLD_END,7143,true
7075,7074,7087,3,2,TAP,7123,false
