frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
9816,9815,9824,2,1,HOLD_END,10671,false
9833,9832,9841,2,1,HOLD_END,10658,true
9851,9849,9859,2,1,HOLD_END,10650,true
9867,9865,9873,2,1,HOLD_END,10641,true
9884,9882,9890,2,1,HOLD_END,10627,true
9900,9898,9906,2,1,HOLD_END,10618,true
9917,9915,9923,2,1,HOLD_END,10622,true
9933,9932,9939,2,1,HOLD_END,10629,true
9949,9948,9956,2,1,HOLD_END,10634,true
9966,9965,9972,2,1,HOLD_END,10644,true
9984,9982,9989,2,1,HOLD_END,10641,true
10015,10014,10016,2,1,HOLD_END,10638,true
10032,10031,10033,2,1,HOLD_END,10632,true
10048,10047,10049,2,1,HOLD_END,10634,true
10065,10064,10066,2,1,HOLD_END,10632,true
10082,10081,10083,2,1,HOLD_END,10644,true
10132,10131,10136,1,1,HOLD_START,10176,false
10132,10131,10136,2,1,HOLD_END,10652,true
10149,10148,10153,2,1,HOLD_END,10656,true
10166,10165,10171,2,1,HOLD_END,10660,true
10187,10182,10192,2,1,HOLD_END,10607,true
10598,10597,10605,3,2,TAP,10638,false
10832,10831,10839,4,3,UP,10876,false
11049,11048,11059,7,1,HOLD_END,11875,false
11065,11064,11075,5,2,TAP,11119,false
11065,11064,11075,7,1,HOLD_END,11839,true
11099,11098,11107,7,1,HOLD_END,11834,true
11115,11114,11126,7,1,HOLD_END,11828,true
11133,11132,11138,7,1,HOLD_END,11825,true
11149,11148,11155,7,1,HOLD_END,11830,true
11166,11165,11173,7,1,HOLD_END,11827,true
11182,11181,11189,7,1,HOLD_END,11821,true
11199,11198,11208,7,1,HOLD_END,11826,true
11215,11214,11222,7,1,HOLD_END,11820,true
11249,11248,11255,7,1,HOLD_END,11823,true
11265,11264,11272,7,1,HOLD_END,11830,true
11299,11298,11306,7,1,HOLD_END,11828,true
11316,11315,11323,6,1,HOLD_START,11361,false
11316,11315,11323,7,1,HOLD_END,11840,true
11332,11331,11340,7,1,HOLD_END,11837,true
11349,11348,11357,7,1,HOLD_END,11840,true
11749,11748,11758,10,1,HOLD_END,12503,false
11782,11781,11791,10,1,HOLD_END,12510,true
11799,11798,11808,8,3,UP,11837,false
11799,11798,11808,10,1,HOLD_END,12519,true
11815,11814,11825,10,1,HOLD_END,12533,true
11832,11831,11844,10,1,HOLD_END,12539,true
11849,11849,11851,10,1,HOLD_END,12548,true
11866,11865,11872,10,1,HOLD_END,12554,true
11899,11898,11906,10,1,HOLD_END,12543,true
11916,11915,11923,10,1,HOLD_END,12541,true
11932,11931,11938,10,1,HOLD_END,12548,true
11949,11948,11956,10,1,HOLD_END,12542,true
11966,11965,11973,10,1,HOLD_END,12550,true
11999,11998,12006,10,1,HOLD_END,12557,true
12032,12031,12038,9,1,HOLD_START,12080,false
12032,12031,12038,10,1,HOLD_END,12553,true
12082,12081,12091,10,1,HOLD_END,12558,true
12515,12514,12523,11,2,TAP,12559,false
12748,12747,12758,12,3,UP,12796,false
12965,12964,12974,15,1,HOLD_END,13710,false
12982,12981,12992,15,1,HOLD_END,13718,true
12999,12998,13009,13,2,TAP,13038,false
12999,12998,13009,15,1,HOLD_END,13727,true
13016,13015,13023,13,2,TAP,13040,true
13016,13015,13023,15,1,HOLD_END,13733,true
13049,13048,13059,15,1,HOLD_END,13741,true
13065,13064,13072,15,1,HOLD_END,13746,true
13082,13081,13089,15,1,HOLD_END,13750,true
13099,13098,13105,15,1,HOLD_END,13746,true
13115,13114,13124,15,1,HOLD_END,13743,true
13132,13131,13139,15,1,HOLD_END,13749,true
13149,13148,13156,15,1,HOLD_END,13747,true
13166,13165,13173,15,1,HOLD_END,13754,true
13182,13181,13188,15,1,HOLD_END,13751,true
13199,13198,13202,15,1,HOLD_END,13760,true
13215,13214,13221,15,1,HOLD_END,13755,true
13233,13232,13239,14,1,HOLD_START,13281,false
13249,13248,13256,15,1,HOLD_END,13761,true
13265,13264,13271,15,1,HOLD_END,13758,true
13282,13281,13287,15,1,HOLD_END,13762,true
13699,13698,13709,18,1,HOLD_END,14530,false
13715,13714,13725,18,1,HOLD_END,14494,true
13732,13731,13742,16,3,UP,13772,false
13732,13731,13742,18,1,HOLD_END,14485,true
13782,13781,13786,18,1,HOLD_END,14405,true
13799,13798,13804,18,1,HOLD_END,14363,true
13816,13815,13822,18,1,HOLD_END,14350,true
13856,13855,13862,18,1,HOLD_END,14394,true
13882,13881,13890,18,1,HOLD_END,14479,true
13899,13898,13906,18,1,HOLD_END,14475,true
13916,13915,13923,18,1,HOLD_END,14464,true
13932,13931,13939,18,1,HOLD_END,14459,true
13949,13948,13957,17,1,HOLD_START,13995,false
13949,13948,13957,18,1,HOLD_END,14450,true
13966,13965,13971,17,1,HOLD_START,13997,true
13966,13965,13971,18,1,HOLD_END,14457,true
13982,13981,13990,18,1,HOLD_END,14477,true
13999,13998,14007,18,1,HOLD_END,14471,true
14432,14431,14443,19,2,TAP,14480,false
14682,14682,14692,20,3,UP,14734,false
14882,14881,14891,24,1,HOLD_END,16524,false
14899,14898,14909,24,1,HOLD_END,16235,true
14915,14914,14925,24,1,HOLD_END,16054,true
14932,14931,14942,21,2,TAP,14976,false
14932,14931,14942,24,1,HOLD_END,15676,true
14982,14981,14993,24,1,HOLD_END,15674,true
14999,14998,15007,24,1,HOLD_END,15682,true
15015,15014,15019,24,1,HOLD_END,15678,true
15032,15031,15035,24,1,HOLD_END,15676,true
15065,15064,15068,24,1,HOLD_END,15674,true
15082,15081,15085,24,1,HOLD_END,15677,true
15099,15098,15101,24,1,HOLD_END,15679,true
15115,15114,15118,24,1,HOLD_END,15689,true
15137,15136,15140,24,1,HOLD_END,15707,true
15166,15165,15172,22,1,HOLD_START,15219,false
15166,15165,15172,24,1,HOLD_END,15710,true
15182,15181,15189,24,1,HOLD_END,15696,true
15199,15198,15205,22,1,HOLD_START,15217,true
15199,15198,15205,24,1,HOLD_END,15691,true
15216,15215,15225,24,1,HOLD_END,15683,true
15232,15231,15242,24,1,HOLD_END,15671,true
15599,15598,15609,28,1,HOLD_END,16441,false
15616,15615,15626,28,1,HOLD_END,16419,true
15632,15631,15641,28,1,HOLD_END,16401,true
15649,15648,15657,25,3,UP,15693,false
15649,15648,15657,28,1,HOLD_END,16397,true
15665,15664,15675,28,1,HOLD_END,16392,true
15682,15681,15691,28,1,HOLD_END,16384,true
15699,15698,15704,28,1,HOLD_END,16318,true
15715,15714,15719,28,1,HOLD_END,16283,true
15732,15731,15736,28,1,HOLD_END,16274,true
15766,15765,15773,28,1,HOLD_END,16297,true
15782,15781,15788,28,1,HOLD_END,16326,true
15799,15798,15805,28,1,HOLD_END,16386,true
15832,15831,15839,28,1,HOLD_END,16388,true
15849,15848,15856,28,1,HOLD_END,16392,true
15865,15864,15872,26,1,HOLD_START,15918,false
15865,15864,15872,28,1,HOLD_END,16387,true
15882,15881,15889,28,1,HOLD_END,16396,true
15916,15915,15925,28,1,HOLD_END,16401,true
