frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
32225,32224,32233,138,1,DOWN,32269,false
32392,32391,32400,139,2,TAP,32438,false
32558,32557,32567,140,3,UP,32605,false
32725,32724,32733,141,2,TAP,32776,false
32891,32890,32901,142,3,UP,32941,false
33075,33074,33083,143,2,TAP,33114,false
33226,33225,33235,144,1,DOWN,33280,false
33409,33408,33419,145,3,TAP,33450,false
33575,33574,33584,146,2,DOWN,33617,false
33742,33741,33751,147,1,TAP,33787,false
33908,33907,33918,148,3,DOWN,33953,false
34075,34074,34084,149,2,TAP,34124,false
34242,34241,34253,150,1,TAP,34293,false
34408,34407,34418,151,3,UP,34460,false
34592,34591,34602,152,1,TAP,34631,false
34741,34740,34752,153,3,UP,34795,false
34925,34924,34934,154,1,TAP,34967,false
35092,35091,35102,155,3,UP,35133,false
35258,35257,35267,156,1,TAP,35304,false
35425,35424,35436,157,3,UP,35470,false
35592,35591,35602,158,1,TAP,35641,false
35758,35757,35768,159,3,UP,35806,false
35925,35924,35934,160,1,TAP,35979,false
36092,36091,36101,161,3,UP,36144,false
36275,36274,36285,162,1,TAP,36315,false
36442,36441,36451,163,3,UP,36482,false
36609,36608,36618,164,1,TAP,36653,false
36775,36774,36785,165,3,UP,36818,false
36942,36941,36952,166,2,TAP,36989,false
37108,37107,37118,167,1,TAP,37156,false
37126,37125,37134,167,1,TAP,37158,true
37275,37274,37283,168,3,DOWN,37324,false
37442,37441,37451,169,2,TAP,37494,false
37608,37607,37617,170,1,DOWN,37661,false
37792,37791,37801,171,3,TAP,37832,false
37959,37958,37969,172,2,DOWN,37999,false
38125,38124,38135,173,1,TAP,38169,false
38292,38291,38303,174,3,TAP,38338,false
38458,38457,38468,175,2,UP,38503,false
38476,38475,38484,175,2,UP,38505,true
38625,38624,38635,176,1,TAP,38676,false
38792,38791,38800,177,2,UP,38841,false
38958,38957,38968,178,1,TAP,39011,false
39125,39124,39135,179,2,UP,39178,false
39308,39307,39317,180,1,TAP,39349,false
39475,39474,39485,181,2,UP,39515,false
39642,39641,39653,182,1,TAP,39687,false
39809,39808,39816,183,2,UP,39853,false
39975,39975,39984,184,1,TAP,40023,false
40141,40140,40151,185,2,UP,40189,false
40309,40308,40319,186,1,TAP,40359,false
40475,40474,40484,187,2,UP,40527,false
40658,40657,40665,188,1,TAP,40697,false
40826,40825,40836,189,2,UP,40864,false
40992,40991,41001,190,1,TAP,41034,false
41159,41158,41168,191,2,TAP,41204,false
41325,41324,41333,192,3,TAP,41371,false
41491,41490,41500,193,1,TAP,41539,false
41659,41658,41663,194,2,TAP,41708,false
41825,41824,41834,195,3,TAP,41877,false
42009,42008,42017,196,1,TAP,42047,false
42176,42175,42186,197,2,TAP,42215,false
42341,42340,42351,198,3,TAP,42382,false
42508,42507,42516,199,1,TAP,42551,false
42675,42674,42684,200,2,TAP,42719,false
42842,42841,42850,201,3,TAP,42889,false
43009,43008,43016,202,2,TAP,43056,false
43675,43674,43679,203,3,UP,43729,false
43825,43824,43835,204,2,TAP,43875,false
