frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
11633,11631,11640,1,3,TAP,11676,false
12066,12065,12072,2,2,TAP,12111,false
12749,12748,12758,3,1,TAP,12787,false
12966,12965,12973,4,2,TAP,13013,false
13649,13648,13658,5,1,TAP,13689,false
13865,13864,13872,6,2,TAP,13914,false
14549,14548,14559,7,1,TAP,14591,false
14765,14764,14771,8,2,TAP,14817,false
15216,15215,15222,9,3,TAP,15270,false
15666,15665,15672,10,2,TAP,15719,false
16350,16349,16359,11,1,TAP,16397,false
16582,16581,16589,12,2,TAP,16621,false
17249,17248,17257,13,1,TAP,17299,false
17482,17481,17488,14,2,TAP,17524,false
18150,18149,18158,15,1,TAP,18201,false
18382,18381,18392,16,2,TAP,18427,false
18832,18831,18839,17,3,TAP,18878,false
19283,19282,19289,18,2,TAP,19329,false
19965,19964,19974,19,1,TAP,20005,false
20182,20181,20188,20,2,TAP,20231,false
20865,20864,20873,21,1,TAP,20907,false
21082,21081,21089,22,2,TAP,21134,false
21766,21765,21772,23,1,TAP,21810,false
21999,21998,22009,24,2,TAP,22036,false
22449,22448,22460,25,3,TAP,22487,false
22899,22898,22907,26,2,TAP,22939,false
23565,23564,23575,27,1,TAP,23614,false
23799,23798,23806,28,2,TAP,23839,false
24466,24465,24475,29,1,TAP,24518,false
24699,24698,24705,30,3,TAP,24740,false
26050,26048,26058,31,3,TAP,26098,false
26499,26498,26509,32,1,TAP,26546,false
26832,26831,26841,33,1,TAP,26885,false
27182,27181,27192,34,2,TAP,27224,false
27399,27398,27407,35,1,TAP,27449,false
27633,27632,27641,36,2,TAP,27675,false
27849,27848,27855,37,1,TAP,27901,false
28082,28081,28090,38,3,TAP,28125,false
28299,28298,28306,39,2,TAP,28351,false
28749,28748,28758,40,2,TAP,28802,false
28982,28981,28989,41,1,TAP,29027,false
29215,29214,29222,42,2,TAP,29254,false
29666,29665,29675,43,3,TAP,29705,false
29948,29947,29955,44,2,LEFT,30002,false
30782,30781,30787,45,2,TAP,30832,false
31016,31015,31025,46,1,TAP,31058,false
31233,31232,31242,47,2,TAP,31284,false
31466,31465,31474,48,1,TAP,31509,false
31684,31681,31693,49,3,TAP,31735,false
31915,31914,31922,50,2,TAP,31960,false
32366,32365,32376,51,2,TAP,32410,false
32383,32382,32391,51,2,TAP,32412,true
32599,32598,32607,52,1,TAP,32638,false
32833,32832,32842,53,2,TAP,32864,false
33148,33147,33156,54,1,TAP,33200,false
33500,33499,33507,55,2,RIGHT,33538,false
34399,34398,34407,56,1,TAP,34441,false
34616,34615,34623,57,2,TAP,34668,false
35066,35065,35075,58,2,TAP,35118,false
35299,35298,35307,59,3,TAP,35345,false
35515,35514,35523,60,2,TAP,35568,false
35748,35747,35756,61,1,TAP,35793,false
35766,35765,35775,61,1,TAP,35795,true
35983,35982,35990,62,2,TAP,36022,false
36433,36432,36440,63,2,TAP,36473,false
36882,36881,36891,64,3,TAP,36922,false
37182,37181,37190,65,2,LEFT,37221,false
37999,37998,38007,66,1,RIGHT,38048,false
38233,38232,38243,67,2,TAP,38276,false
38449,38448,38458,68,1,TAP,38501,false
38683,38682,38692,69,2,TAP,38729,false
38916,38915,38925,70,1,TAP,38953,false
39132,39131,39139,71,2,TAP,39176,false
40482,40481,40488,72,3,UP,40528,false
40932,40931,40938,73,1,TAP,40982,false
40932,40931,40938,74,2,TAP,40982,false
41284,41281,41294,76,2,TAP,41321,false
41284,41281,41294,75,3,TAP,41321,false
41616,41615,41626,77,1,TAP,41660,false
41616,41615,41626,78,2,TAP,41660,false
42066,42065,42074,79,1,TAP,42111,false
42282,42281,42290,80,2,TAP,42336,false
42515,42514,42524,81,3,TAP,42562,false
42748,42747,42758,82,1,TAP,42787,false
42748,42747,42758,83,2,TAP,42787,false
43182,43181,43188,84,3,UP,43235,false
43649,43648,43656,85,2,TAP,43691,false
44099,44098,44107,86,1,TAP,44142,false
44549,44548,44558,87,1,TAP,44592,false
44549,44548,44558,88,2,TAP,44592,false
44882,44881,44891,89,2,TAP,44932,false
44882,44881,44891,90,3,TAP,44932,false
45216,45215,45226,91,1,TAP,45269,false
45216,45215,45226,92,2,TAP,45269,false
45683,45682,45691,93,1,TAP,45722,false
45899,45898,45908,94,2,TAP,45946,false
46132,46131,46142,95,3,TAP,46171,false
46349,46348,46357,96,1,TAP,46396,false
46349,46348,46357,97,2,TAP,46396,false
46800,46799,46807,98,3,UP,46845,false
46817,46816,46825,98,3,UP,46847,true
47266,47265,47274,99,2,TAP,47317,false
47699,47698,47707,100,1,TAP,47750,false
48149,48148,48159,101,1,TAP,48201,false
48149,48148,48159,102,2,TAP,48201,false
48498,48497,48510,104,2,TAP,48539,false
48498,48497,48510,103,3,TAP,48539,false
48832,48831,48841,105,1,TAP,48877,false
48832,48831,48841,106,2,TAP,48877,false
49283,49282,49292,107,1,TAP,49330,false
49515,49514,49523,108,2,TAP,49555,false
49732,49731,49742,109,3,TAP,49780,false
49965,49964,49975,110,1,TAP,50005,false
49965,49964,49975,111,2,TAP,50006,false
50417,50416,50424,112,3,UP,50455,false
50866,50865,50872,113,2,TAP,50910,false
51316,51315,51322,114,1,TAP,51360,false
51983,51982,51991,115,1,TAP,52036,false
52232,52231,52241,116,2,TAP,52278,false
52465,52464,52474,117,3,TAP,52503,false
52683,52682,52691,118,2,TAP,52729,false
52915,52914,52923,119,1,TAP,52954,false
53132,53131,53141,120,2,TAP,53181,false
53365,53364,53372,121,1,TAP,53406,false
53816,53815,53826,122,1,TAP,53857,false
54016,54015,54023,123,2,TAP,54066,false
54249,54248,54255,124,3,TAP,54292,false
54465,54464,54472,125,2,TAP,54518,false
54699,54698,54708,126,1,TAP,54743,false
54915,54914,54921,127,2,TAP,54967,false
55149,55148,55158,128,3,TAP,55194,false
55365,55364,55374,129,1,TAP,55418,false
55365,55364,55374,130,2,TAP,55418,false
55717,55716,55728,131,2,TAP,55759,false
55717,55716,55728,132,3,TAP,55759,false
56048,56047,56056,133,1,TAP,56096,false
56048,56047,56056,134,2,TAP,56096,false
56499,56498,56509,135,1,TAP,56548,false
56732,56731,56742,136,2,TAP,56773,false
56948,56947,56959,137,3,TAP,56998,false
57182,57181,57192,138,1,TAP,57223,false
57182,57181,57192,139,2,TAP,57223,false
57634,57633,57644,140,3,UP,57674,false
