time_ms,gameplay,notes,processing_ms
5404,true,0,1.582
5420,true,0,1.423
5435,true,0,1.196
5452,false,0,0.023
5469,false,0,0.026
5487,false,0,0.027
5504,false,0,0.023
5521,false,0,0.022
5536,false,0,0.026
5553,false,0,0.066
5572,false,0,0.029
5587,false,0,0.048
5603,false,0,0.065
5619,false,0,0.022
5637,false,0,0.022
5653,false,0,0.030
5669,false,0,0.028
5686,false,0,0.043
5703,false,0,0.031
5720,false,0,0.025
5737,false,0,0.022
5753,false,0,0.538
5769,false,0,2.429
5786,false,0,0.024
5802,false,0,0.038
5819,false,0,0.093
5837,false,0,0.048
5853,false,0,0.035
5870,false,0,0.066
5886,false,0,0.042
5904,false,0,0.028
5919,false,0,0.061
5936,false,0,0.037
5953,false,0,0.033
5971,false,0,0.035
5986,false,0,0.028
6004,false,0,0.026
6020,false,0,0.029
6037,false,0,0.083
6053,false,0,0.035
6070,false,0,0.026
6086,false,0,0.054
6103,false,0,0.040
6120,false,0,0.052
6138,false,0,0.067
6153,false,0,0.029
6172,false,0,0.030
6187,false,0,0.026
6203,false,0,0.024
6220,false,0,0.020
6237,false,0,0.021
6254,false,0,0.019
6271,false,0,0.023
6287,false,0,0.031
6305,false,0,2.264
6320,false,0,0.018
6336,false,0,0.024
6354,false,0,0.064
6370,false,0,0.031
6387,false,0,0.026
6403,false,0,0.031
6419,false,0,0.039
6436,false,0,0.032
6452,false,0,0.028
6469,false,0,0.041
6486,false,0,0.031
6505,false,0,0.025
6521,false,0,0.048
6538,false,0,0.021
6554,false,0,0.021
6572,false,0,0.047
6587,false,0,0.023
6604,false,0,0.040
6620,false,0,0.016
6636,false,0,0.023
6653,false,0,0.025
6670,false,0,0.026
6686,false,0,0.052
6703,false,0,0.045
6720,false,0,0.048
6736,false,0,0.042
6754,false,0,0.034
6770,false,0,0.055
6787,false,0,0.133
6804,false,0,0.038
6820,false,0,0.059
6837,false,0,0.109
6853,false,0,0.047
6870,false,0,0.091
6886,false,0,0.092
6903,false,0,0.018
6922,false,0,0.018
6937,false,0,0.011
6953,false,0,0.052
6971,false,0,0.033
6987,false,0,0.013
7004,false,0,0.046
7021,false,0,0.009
7037,false,0,0.012
7052,false,0,0.045
7070,false,0,0.014
7086,false,0,0.019
7103,false,0,0.067
7120,false,0,0.017
7138,false,0,0.018
7152,false,0,0.019
7170,false,0,0.014
7187,false,0,0.013
7203,false,0,0.013
7220,false,0,0.018
7240,false,0,0.013
7254,false,0,0.071
7271,false,0,0.065
7288,false,0,0.013
7305,false,0,0.016
7321,false,0,0.059
7338,false,0,0.014
7354,false,0,0.013
7370,false,0,0.012
7388,false,0,0.031
7405,false,0,0.014
7420,false,0,0.037
7436,false,0,0.013
7453,false,0,0.007
7469,false,0,0.010
7486,false,0,0.042
7503,false,0,0.010
7520,false,0,0.010
7538,false,0,0.062
7545,false,0,0.010
7554,false,0,0.012
7562,false,0,0.042
7570,false,0,0.009
7578,false,0,0.014
7586,false,0,0.017
7595,false,0,0.015
7606,false,0,0.014
7611,false,0,0.046
7620,false,0,0.025
7629,false,0,0.019
7636,false,0,0.014
7644,false,0,0.061
7652,false,0,0.015
7662,false,0,0.010
7670,false,0,0.012
7679,false,0,0.012
7687,false,0,0.012
7695,false,0,0.011
7704,false,0,0.012
7712,false,0,0.016
7720,false,0,0.010
7729,false,0,0.045
7737,false,0,0.011
7746,false,0,0.016
7754,false,0,0.042
7762,false,0,0.013
7771,false,0,0.018
7779,false,0,0.013
7787,false,0,0.013
7795,false,0,0.016
7804,false,0,0.042
7811,false,0,0.018
7820,false,0,0.015
7829,false,0,0.013
7837,false,0,0.053
7846,false,0,0.111
7853,false,0,0.012
7870,false,0,0.011
7886,false,0,0.013
7903,false,0,0.012
7920,false,0,0.012
7935,false,0,0.011
7953,false,0,0.011
7969,false,0,0.011
7986,false,0,0.037
8004,false,0,0.015
8020,false,0,0.013
8036,false,0,0.044
8053,false,0,0.017
8070,false,0,0.011
8086,false,0,0.015
8103,false,0,0.010
8119,false,0,0.010
8137,false,0,0.014
8154,false,0,0.010
8170,false,0,0.034
8187,false,0,0.016
8204,false,0,0.051
8220,false,0,0.012
8236,false,0,0.011
8253,false,0,0.085
8270,false,0,0.016
8287,true,0,1.427
8303,true,0,1.027
8320,true,0,1.543
8336,true,0,1.496
8353,true,0,0.994
8369,true,0,1.097
8387,true,0,1.657
8403,true,0,1.593
8420,true,0,1.185
8436,true,0,1.737
8452,true,0,1.696
8469,true,0,0.258
8487,true,0,0.166
8503,true,0,0.176
8521,true,0,0.209
8536,true,0,0.243
8553,true,0,0.410
8570,true,0,0.180
8586,true,0,0.235
8603,true,0,0.273
8620,true,0,0.091
8637,true,0,0.083
8654,true,0,0.089
8670,true,0,0.106
8687,true,0,0.159
8703,true,0,0.442
8720,true,0,0.078
8737,true,0,0.104
8754,true,0,0.174
8770,true,0,0.227
8787,true,0,0.080
8803,true,0,0.085
8820,true,0,0.079
8838,true,0,0.388
8853,true,0,0.097
8870,true,0,0.160
8886,true,0,0.169
8903,true,0,0.107
8920,true,0,0.165
8936,true,0,0.067
8953,true,0,0.071
8970,true,0,0.065
8987,true,0,0.115
9004,true,0,0.099
9020,true,0,0.069
9036,true,0,0.100
9053,true,0,0.098
9070,true,0,0.062
9086,true,0,0.063
9103,true,0,0.099
9119,true,0,0.064
9136,true,0,0.062
9153,true,0,0.092
9170,true,0,0.072
9187,true,0,0.135
9203,true,0,0.069
9220,true,0,0.123
9236,true,0,0.064
9253,true,0,0.096
9270,true,0,0.104
9287,true,0,0.071
9303,true,0,0.065
9320,true,0,0.074
9337,true,0,0.094
9353,true,0,0.097
9370,true,0,0.101
9388,true,0,0.063
9404,true,0,0.122
9419,true,0,0.065
9436,true,0,0.080
9453,true,0,0.067
9469,true,0,0.058
9486,true,0,0.061
9503,true,0,0.067
9519,true,0,0.104
9537,true,0,0.068
9554,true,0,2.388
9570,true,0,0.076
9587,true,0,0.151
9604,true,0,0.087
9621,true,0,0.086
9637,true,0,0.098
9654,true,0,0.066
9670,true,0,0.066
9687,true,0,0.080
9703,true,0,0.121
9720,true,0,0.071
9737,true,0,0.069
9754,true,0,0.067
9770,true,0,0.068
9787,true,0,0.068
9804,true,0,0.070
9820,true,0,0.121
9836,true,0,0.066
9853,true,0,0.085
9870,true,0,0.078
9887,true,0,0.118
9903,true,0,0.074
9921,true,0,0.081
9939,true,0,0.066
9952,true,0,0.068
9970,true,0,0.120
9986,true,0,0.068
10003,true,0,0.114
10019,true,0,0.064
10036,true,0,0.078
10053,true,0,0.074
10070,true,0,0.095
10087,true,0,0.099
10105,true,0,0.085
10121,true,0,0.083
10137,true,0,0.067
10154,true,0,0.067
10171,true,0,0.090
10187,true,0,0.099
10202,true,0,0.074
10221,true,0,0.068
10237,true,0,0.102
10254,true,0,0.066
10271,true,0,0.068
10287,true,1,18.140
10303,true,1,3.612
10320,true,1,4.847
10337,true,1,3.159
10353,true,1,2.777
10370,true,1,3.158
10387,true,1,3.330
10403,true,1,2.957
10419,true,1,3.258
10436,true,1,4.176
10452,true,1,3.032
10471,true,1,8.028
10486,true,1,3.548
10502,true,1,5.890
10520,true,1,7.966
10537,true,1,5.575
10552,true,1,5.221
10570,true,1,6.443
10587,true,1,7.517
10603,true,1,3.291
10621,true,1,5.044
10637,true,1,0.951
10654,true,1,1.235
10671,true,1,0.632
10687,true,1,1.260
10705,true,1,0.720
10719,true,1,0.697
10736,true,2,2.550
10758,true,2,1.649
10770,true,2,5.522
10778,true,2,2.924
10787,true,1,1.049
10795,true,1,0.893
10803,true,1,0.547
10812,true,1,0.744
10820,true,1,0.678
10828,true,1,0.742
10837,true,1,0.701
10845,true,1,0.553
10854,true,1,1.175
10862,true,1,1.280
10870,true,1,1.349
10878,true,1,0.563
10887,true,1,1.108
10895,true,1,1.186
10904,true,1,0.579
10912,true,1,1.060
10920,true,1,0.597
10928,true,1,1.118
10937,true,1,0.980
10946,true,1,0.778
10954,true,1,0.477
10964,true,1,1.115
10970,true,1,0.594
10978,true,1,0.655
10987,true,1,0.463
10995,true,1,0.500
11004,true,1,4.245
11012,true,1,0.882
11021,true,1,0.870
11029,true,1,0.692
11037,true,1,1.052
11044,true,1,1.056
11053,true,1,0.871
11062,true,1,0.754
11070,true,1,1.314
11085,true,1,0.510
11103,true,1,0.835
11120,true,1,0.526
11136,true,1,0.628
11153,true,1,1.368
11170,true,1,1.135
11186,true,1,1.460
11203,true,1,1.143
11220,true,1,1.326
11237,true,1,0.731
11253,true,1,0.682
11269,true,1,1.525
11287,true,1,1.685
11303,true,0,0.224
