frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
11633,11631,11640,1,3,TAP,11679,false
12066,12065,12072,2,2,TAP,12114,false
12749,12748,12758,3,1,TAP,12789,false
12966,12965,12973,4,2,TAP,13016,false
13649,13648,13658,5,1,TAP,13691,false
13865,13864,13872,6,2,TAP,13916,false
14549,14548,14559,7,1,TAP,14594,false
14782,14781,14792,8,2,TAP,14819,false
15233,15232,15245,9,3,TAP,15272,false
15682,15681,15685,10,2,TAP,15722,false
15698,15697,15702,10,2,TAP,15720,true
16350,16349,16359,11,1,TAP,16400,false
16582,16581,16589,12,2,TAP,16623,false
17249,17248,17257,13,1,TAP,17302,false
17482,17481,17488,14,2,TAP,17526,false
18150,18149,18158,15,1,TAP,18204,false
18382,18381,18392,16,2,TAP,18429,false
18832,18831,18839,17,3,TAP,18880,false
19283,19282,19289,18,2,TAP,19332,false
19965,19964,19974,19,1,TAP,20007,false
20182,20181,20188,20,2,TAP,20234,false
20865,20864,20873,21,1,TAP,20910,false
21099,21098,21106,22,2,TAP,21136,false
21766,21765,21772,23,1,TAP,21813,false
21999,21998,22009,24,2,TAP,22038,false
22449,22448,22460,25,3,TAP,22489,false
22899,22898,22907,26,2,TAP,22941,false
23565,23564,23575,27,1,TAP,23616,false
23799,23798,23806,28,2,TAP,23841,false
24482,24481,24490,29,1,TAP,24519,false
24699,24698,24705,30,3,TAP,24742,false
26050,26048,26058,31,3,TAP,26100,false
26499,26498,26509,32,1,TAP,26549,false
26849,26848,26857,33,1,TAP,26888,false
27182,27181,27192,34,2,TAP,27226,false
27399,27398,27407,35,1,TAP,27452,false
27633,27632,27641,36,2,TAP,27678,false
27865,27864,27875,37,1,TAP,27903,false
28082,28081,28090,38,3,TAP,28127,false
28316,28315,28322,39,2,TAP,28354,false
28766,28765,28775,40,2,TAP,28805,false
28982,28981,28989,41,1,TAP,29030,false
29215,29214,29222,42,2,TAP,29256,false
29666,29665,29675,43,3,TAP,29707,false
29965,29964,29972,44,2,LEFT,30005,false
30782,30781,30787,45,2,TAP,30835,false
30798,30797,30803,45,2,TAP,30833,true
31016,31015,31025,46,1,TAP,31060,false
31249,31248,31258,47,2,TAP,31287,false
31466,31465,31474,48,1,TAP,31512,false
31715,31714,31725,49,3,TAP,31736,false
31915,31914,31922,50,2,TAP,31962,false
32366,32365,32376,51,2,TAP,32413,false
32599,32598,32607,52,1,TAP,32641,false
32615,32614,32622,52,1,TAP,32639,true
32833,32832,32842,53,2,TAP,32866,false
33165,33164,33175,54,1,TAP,33201,false
33500,33499,33507,55,2,RIGHT,33540,false
34399,34398,34407,56,1,TAP,34444,false
34633,34632,34638,57,2,TAP,34670,false
35082,35081,35090,58,2,TAP,35121,false
35299,35298,35307,59,3,TAP,35348,false
35315,35314,35324,59,3,TAP,35346,true
35532,35531,35538,60,2,TAP,35571,false
35748,35747,35756,61,1,TAP,35796,false
35983,35982,35990,62,2,TAP,36024,false
36433,36432,36440,63,2,TAP,36475,false
36882,36881,36891,64,3,TAP,36925,false
37182,37181,37190,65,2,LEFT,37223,false
37999,37998,38007,66,1,RIGHT,38051,false
38233,38232,38243,67,2,TAP,38279,false
38466,38465,38475,68,1,TAP,38504,false
38683,38682,38692,69,2,TAP,38732,false
38699,38698,38708,69,2,TAP,38730,true
38916,38915,38925,70,1,TAP,38956,false
39132,39131,39139,71,2,TAP,39179,false
40482,40481,40488,72,3,UP,40532,false
40499,40498,40506,72,3,UP,40530,true
40932,40931,40938,73,1,TAP,40985,false
40932,40931,40938,74,2,TAP,40985,false
41284,41281,41294,76,2,TAP,41324,false
41284,41281,41294,75,3,TAP,41324,false
41616,41615,41626,77,1,TAP,41663,false
41616,41615,41626,78,2,TAP,41663,false
41632,41631,41637,77,1,TAP,41661,true
41632,41631,41637,78,2,TAP,41661,true
42066,42065,42074,79,1,TAP,42114,false
42298,42297,42306,80,2,TAP,42338,false
42515,42514,42524,81,3,TAP,42565,false
42748,42747,42758,82,1,TAP,42790,false
42748,42747,42758,83,2,TAP,42790,false
43200,43199,43208,84,3,UP,43239,false
43649,43648,43656,85,2,TAP,43693,false
44099,44098,44107,86,1,TAP,44144,false
44549,44548,44558,87,1,TAP,44595,false
44549,44548,44558,88,2,TAP,44595,false
44882,44881,44891,89,2,TAP,44935,false
44882,44881,44891,90,3,TAP,44935,false
45232,45231,45238,91,1,TAP,45272,false
45232,45231,45238,92,2,TAP,45272,false
45683,45682,45691,93,1,TAP,45725,false
45899,45898,45908,94,2,TAP,45949,false
46132,46131,46142,95,3,TAP,46173,false
46349,46348,46357,96,1,TAP,46399,false
46349,46348,46357,97,2,TAP,46399,false
46800,46799,46807,98,3,UP,46849,false
47283,47282,47289,99,2,TAP,47319,false
47716,47715,47723,100,1,TAP,47753,false
48166,48165,48175,101,1,TAP,48204,false
48166,48165,48175,102,2,TAP,48204,false
48498,48497,48510,104,2,TAP,48542,false
48498,48497,48510,103,3,TAP,48542,false
48832,48831,48841,105,1,TAP,48880,false
48832,48831,48841,106,2,TAP,48881,false
49283,49282,49292,107,1,TAP,49334,false
49299,49298,49307,107,1,TAP,49332,true
49515,49514,49523,108,2,TAP,49557,false
49732,49731,49742,109,3,TAP,49783,false
49965,49964,49975,110,1,TAP,50008,false
49965,49964,49975,111,2,TAP,50008,false
50417,50416,50424,112,3,UP,50457,false
50866,50865,50872,113,2,TAP,50913,false
50882,50881,50891,113,2,TAP,50911,true
51316,51315,51322,114,1,TAP,51363,false
51999,51998,52008,115,1,TAP,52039,false
52232,52231,52241,116,2,TAP,52281,false
52465,52464,52474,117,3,TAP,52506,false
52683,52682,52691,118,2,TAP,52732,false
52915,52914,52923,119,1,TAP,52957,false
52932,52931,52941,119,1,TAP,52955,true
53132,53131,53141,120,2,TAP,53185,false
53365,53364,53372,121,1,TAP,53408,false
53816,53815,53826,122,1,TAP,53860,false
54016,54015,54023,123,2,TAP,54069,false
54249,54248,54255,124,3,TAP,54295,false
54265,54264,54272,124,3,TAP,54293,true
54482,54481,54491,125,2,TAP,54519,false
54699,54698,54708,126,1,TAP,54746,false
54715,54714,54724,126,1,TAP,54744,true
54932,54931,54939,127,2,TAP,54970,false
55149,55148,55158,128,3,TAP,55197,false
55382,55381,55394,129,1,TAP,55421,false
55382,55381,55394,130,2,TAP,55421,false
55717,55716,55728,131,2,TAP,55761,false
55717,55716,55728,132,3,TAP,55761,false
56048,56047,56056,133,1,TAP,56099,false
56048,56047,56056,134,2,TAP,56099,false
56499,56498,56509,135,1,TAP,56551,false
56732,56731,56742,136,2,TAP,56776,false
56948,56947,56959,137,3,TAP,57001,false
57182,57181,57192,138,1,TAP,57226,false
57182,57181,57192,139,2,TAP,57226,false
57634,57633,57644,140,3,UP,57676,false
58082,58081,58090,141,2,TAP,58129,false
58532,58531,58541,142,1,TAP,58580,false
58983,58982,58992,143,1,TAP,59032,false
58983,58982,58992,144,2,TAP,59032,false
59332,59331,59339,146,2,TAP,59370,false
59332,59331,59339,145,3,TAP,59370,false
59665,59664,59673,147,1,TAP,59707,false
59665,59664,59673,148,2,TAP,59707,false
60116,60115,60127,149,1,TAP,60160,false
60132,60131,60140,149,1,TAP,60158,true
60332,60331,60341,150,2,TAP,60386,false
60565,60564,60575,151,3,TAP,60610,false
60799,60798,60806,152,1,TAP,60835,false
60799,60798,60806,153,2,TAP,60835,false
61233,61232,61241,154,3,UP,61286,false
61699,61698,61706,155,2,TAP,61738,false
62149,62148,62156,156,1,TAP,62189,false
62615,62614,62628,157,1,TAP,62638,false
62615,62614,62628,158,2,TAP,62638,false
62932,62931,62943,159,2,TAP,62979,false
62932,62931,62943,160,3,TAP,62979,false
63266,63265,63274,161,1,TAP,63319,false
63266,63265,63274,162,2,TAP,63319,false
63283,63282,63288,161,1,TAP,63317,true
63716,63715,63726,163,1,TAP,63769,false
63949,63948,63957,164,2,TAP,63993,false
