time_ms,gameplay,notes,processing_ms,hud_visible
0,false,0,11.150,false
18,false,0,0.020,false
41,false,0,0.022,false
57,false,0,0.016,false
73,false,0,0.015,false
91,false,0,0.014,false
107,false,0,0.014,false
133,false,0,0.016,false
151,false,0,0.016,false
167,false,0,0.021,false
184,false,0,0.042,false
200,false,0,0.015,false
217,false,0,0.028,false
233,false,0,0.121,false
250,false,0,0.019,false
266,false,0,0.026,false
284,false,0,0.014,false
300,false,0,0.033,false
317,false,0,0.028,false
334,false,0,0.027,false
351,false,0,0.017,false
367,false,0,0.040,false
383,false,0,0.013,false
401,false,0,0.016,false
434,false,0,0.017,false
450,false,0,0.011,false
466,false,0,0.014,false
483,false,0,0.018,false
500,false,0,0.026,false
516,false,0,0.014,false
533,false,0,0.025,false
549,false,0,0.017,false
566,false,0,0.017,false
582,false,0,1.134,false
599,false,0,0.017,false
616,false,0,0.014,false
633,false,0,0.017,false
649,false,0,0.013,false
666,false,0,0.015,false
683,false,0,0.026,false
700,false,0,0.013,false
717,false,0,0.015,false
734,false,0,0.021,false
750,false,0,0.012,false
767,false,0,0.012,false
784,false,0,0.057,false
801,false,0,0.013,false
817,false,0,0.014,false
833,false,0,0.016,false
851,false,0,0.016,false
867,false,0,0.017,false
884,false,0,0.014,false
901,false,0,0.015,false
917,false,0,0.014,false
934,false,0,0.013,false
950,false,0,0.012,false
968,false,0,0.012,false
984,false,0,0.013,false
1000,false,0,0.012,false
1017,false,0,0.047,false
1034,false,0,0.014,false
1050,false,0,0.235,false
1067,false,0,0.219,false
1084,false,0,0.195,false
1100,false,0,0.192,false
1117,false,0,0.187,false
1134,false,0,0.196,false
1150,false,0,0.012,false
1168,false,0,0.013,false
1191,false,0,0.013,false
1208,false,0,0.022,false
1233,false,0,0.014,false
1249,false,0,0.018,false
1266,false,0,0.015,false
1283,false,0,0.013,false
1299,false,0,0.012,false
1316,false,0,0.013,false
1332,false,0,0.016,false
1349,false,0,0.017,false
1365,false,0,0.014,false
1382,false,0,0.037,false
1399,false,0,0.013,false
1416,false,0,0.019,false
1432,false,0,0.014,false
1449,false,0,0.041,false
1466,false,0,0.021,false
1482,false,0,0.017,false
1499,false,0,0.018,false
1516,false,0,0.051,false
1533,false,0,0.015,false
1549,false,0,0.018,false
1566,false,0,0.014,false
1582,false,0,0.016,false
1599,false,0,0.039,false
1615,false,0,0.013,false
1632,false,0,0.013,false
1649,false,0,0.016,false
1666,false,0,0.013,false
1682,false,0,0.015,false
1699,false,0,0.017,false
1716,false,0,0.013,false
1732,false,0,0.015,false
1749,false,0,0.018,false
1766,false,0,0.015,false
1782,false,0,0.013,false
1799,false,0,0.017,false
1816,false,0,0.013,false
1833,false,0,0.015,false
1849,false,0,0.017,false
1865,false,0,0.013,false
1882,false,0,0.014,false
1898,false,0,0.014,false
1915,false,0,0.014,false
1932,false,0,0.014,false
1949,false,0,0.015,false
1965,false,0,0.014,false
1982,false,0,0.015,false
1999,false,0,0.014,false
2016,false,0,0.014,false
2032,false,0,0.014,false
2101,false,0,0.013,false
2132,false,0,0.015,false
2149,false,0,0.019,false
2232,false,0,0.162,false
2248,false,0,0.014,false
2298,false,0,0.014,false
2315,false,0,0.107,false
2443,false,0,0.020,false
2482,false,0,0.015,false
2499,false,0,0.012,false
2515,false,0,0.016,false
2549,false,0,0.013,false
2583,false,0,0.014,false
2616,false,0,0.013,false
2649,false,0,0.014,false
2683,false,0,0.013,false
2716,false,0,0.014,false
2750,false,0,0.015,false
2783,false,0,0.017,false
2832,false,0,0.013,false
2867,false,0,0.014,false
2899,false,0,0.013,false
2932,false,0,0.081,false
2966,false,0,0.013,false
2999,false,0,0.011,false
3033,false,0,0.012,false
3067,false,0,0.013,false
3099,false,0,0.014,false
3133,false,0,0.038,false
3166,false,0,0.014,false
3198,false,0,0.015,false
3232,false,0,0.013,false
3266,false,0,0.015,false
3300,false,0,0.017,false
3333,false,0,0.014,false
3367,false,0,0.013,false
3399,false,0,0.017,false
3432,false,0,0.013,false
3465,false,0,0.015,false
3500,false,0,0.013,false
3533,false,0,0.013,false
3565,false,0,0.013,false
3616,false,0,0.012,false
3633,false,0,0.012,false
3684,false,0,0.013,false
3700,false,0,0.014,false
3734,false,0,0.013,false
3768,false,0,0.012,false
3816,false,0,0.013,false
3833,false,0,0.016,false
3851,false,0,0.016,false
3884,false,0,0.017,false
3902,false,0,0.017,false
3920,false,0,0.012,false
3951,false,0,0.015,false
3968,false,0,0.016,false
3984,false,0,0.024,false
4000,false,0,0.012,false
4016,false,0,0.014,false
4034,false,0,0.012,false
4051,false,0,0.012,false
4067,false,0,0.016,false
4083,false,0,0.136,false
4100,false,0,0.015,false
4116,false,0,0.012,false
4134,false,0,0.012,false
4150,false,0,0.020,false
4167,false,0,0.012,false
4183,false,0,0.011,false
4200,false,0,0.010,false
4217,false,0,0.014,false
4233,false,0,0.046,false
4250,false,0,0.009,false
4266,false,0,0.009,false
4283,false,0,0.028,false
4299,false,0,0.017,false
4317,false,0,0.014,false
4334,false,0,0.049,false
4350,false,0,0.016,false
4367,false,0,0.014,false
4383,false,0,0.044,false
4400,false,0,0.033,false
4417,false,0,0.012,false
4433,false,0,0.748,false
4450,false,0,0.009,false
4467,false,0,0.013,false
4485,false,0,0.025,false
4517,false,0,0.011,false
4533,false,0,0.022,false
4550,false,0,0.016,false
4566,false,0,0.014,false
4583,false,0,0.011,false
4599,false,0,0.013,false
4617,false,0,0.015,false
4634,false,0,0.012,false
4650,false,0,0.011,false
4667,false,0,0.012,false
4700,false,0,0.011,false
4716,false,0,0.014,false
4734,false,0,0.011,false
4750,false,0,0.010,false
4766,false,0,0.014,false
4783,false,0,0.084,false
4800,false,0,0.016,false
4817,false,0,0.014,false
4833,false,0,0.018,false
4850,false,0,0.014,false
4867,false,0,0.031,false
4883,false,0,0.014,false
4901,false,0,0.012,false
4917,false,0,0.012,false
4934,false,0,0.011,false
4950,false,0,0.013,false
4967,false,0,0.011,false
4983,false,0,0.012,false
5000,false,0,0.016,false
5019,false,0,0.013,false
5050,false,0,0.012,false
5066,false,0,0.032,false
5084,false,0,0.011,false
5100,false,0,0.011,false
5116,false,0,0.011,false
5133,false,0,0.012,false
5150,false,0,0.012,false
5166,false,0,0.013,false
5183,false,0,0.010,false
5199,false,0,0.016,false
5216,false,0,0.164,false
5233,false,0,0.176,false
5250,false,0,0.347,false
5266,false,0,0.204,false
5283,false,0,0.405,false
5300,false,0,0.189,false
5316,false,0,0.266,false
5333,false,0,0.198,false
5350,false,0,0.242,false
5367,false,0,0.253,false
5383,false,0,0.064,false
5400,false,0,0.026,false
5416,false,0,0.029,false
5433,false,0,0.040,false
5450,false,0,0.030,false
5466,false,0,0.077,false
5482,false,0,0.038,false
5500,false,0,0.037,false
5517,false,0,15.277,false
5549,false,0,13.123,false
5567,false,0,11.060,false
5583,false,0,12.675,false
5600,false,0,11.822,false
5618,false,0,12.043,false
5649,false,0,11.865,false
5665,false,0,1.326,false
5682,false,0,11.741,false
5700,false,0,11.941,false
5716,false,0,12.007,false
5734,false,0,12.542,false
