time_ms,gameplay,notes,processing_ms,hud_visible
0,false,0,23.782,false
16,false,0,3.481,false
32,false,0,4.454,false
50,false,0,3.956,false
66,false,0,3.670,false
82,false,0,3.704,false
98,false,0,3.615,false
116,false,0,3.862,false
132,false,0,4.661,false
149,false,0,3.560,false
166,false,0,3.649,false
182,false,0,3.593,false
199,false,0,4.317,false
215,false,0,3.603,false
233,false,0,3.002,false
259,false,0,1.619,false
275,false,0,2.983,false
292,false,0,2.897,false
309,false,0,3.999,false
325,false,0,2.781,false
342,false,0,2.854,false
359,false,0,2.929,false
375,false,0,0.083,false
392,false,0,0.081,false
409,false,0,0.086,false
442,false,0,0.080,false
459,false,0,0.082,false
476,false,0,0.082,false
492,false,0,0.106,false
508,false,0,0.071,false
526,true,0,7.216,true
542,true,0,1.658,true
558,true,0,1.639,true
575,true,0,2.112,true
592,true,0,2.037,true
608,true,0,2.096,true
625,true,0,1.494,true
641,true,0,1.041,true
659,true,0,0.566,true
675,true,0,0.523,true
692,true,0,0.452,true
709,true,0,0.522,true
725,true,0,0.516,true
742,true,0,0.621,true
759,true,0,0.494,true
776,true,0,0.473,true
793,true,0,0.523,true
826,true,0,0.553,true
842,true,0,0.527,true
859,true,0,0.724,true
877,true,0,0.728,true
893,true,0,0.569,true
926,true,0,0.709,true
943,true,0,0.605,true
959,true,0,0.621,true
976,true,0,0.589,true
1009,true,0,0.749,true
1026,true,0,0.628,true
1059,true,0,0.758,true
1076,true,0,0.599,true
1092,true,0,0.708,true
1109,true,0,0.627,true
1126,true,0,0.696,true
1142,true,0,0.601,true
1159,true,0,0.727,true
1176,true,0,0.429,true
1192,true,0,0.391,true
1208,true,0,0.452,true
1226,true,0,0.372,true
1259,true,0,0.433,true
1276,true,0,0.397,true
1293,true,0,0.460,true
1310,true,0,0.435,true
1326,true,0,0.269,true
1342,true,0,0.232,true
1359,true,0,0.226,true
1375,true,0,0.226,true
1393,true,0,0.233,true
1409,true,0,0.236,true
1425,true,0,0.260,true
1441,true,0,0.228,true
1458,true,0,0.256,true
1476,true,0,0.267,true
1492,true,0,0.236,true
1509,true,0,0.232,true
1526,true,0,0.179,true
1544,true,0,0.273,true
1576,true,0,0.258,true
1592,true,0,0.236,true
1608,true,0,0.258,true
1625,true,0,0.226,true
1642,true,0,0.229,true
1659,true,0,0.229,true
1691,true,0,0.233,true
1708,true,0,0.233,true
1724,true,0,0.183,true
1741,true,0,0.171,true
1758,true,0,0.168,true
1775,true,0,0.169,true
1791,true,0,0.191,true
1809,true,0,0.280,true
1841,true,0,0.234,true
1859,true,0,0.208,true
1875,true,0,0.166,true
1892,true,0,0.165,true
1910,true,0,0.158,true
1926,true,0,0.159,true
1942,true,0,0.160,true
1959,true,0,0.157,true
1976,true,0,0.169,true
1992,true,0,0.160,true
2008,true,0,0.197,true
2024,true,0,0.161,true
2041,true,0,0.183,true
2058,true,0,0.219,true
2075,true,0,0.319,true
2093,true,0,0.230,true
2109,true,0,0.183,true
2126,true,0,0.165,true
2142,true,0,0.168,true
2159,true,0,0.191,true
2175,true,0,0.175,true
2192,true,0,0.301,true
2209,true,0,0.166,true
2225,true,0,0.161,true
2241,true,0,0.189,true
2259,true,0,0.167,true
2291,true,0,0.309,true
2308,true,0,0.218,true
2324,true,0,0.168,true
2341,true,0,0.240,true
2357,true,0,0.169,true
2375,true,0,0.185,true
2392,true,0,0.160,true
2409,true,0,0.386,true
2425,true,0,0.160,true
2443,true,0,0.161,true
2459,true,0,0.181,true
2475,true,0,0.223,true
2493,true,0,0.221,true
2509,true,0,0.211,true
2527,true,0,0.197,true
2543,true,0,0.236,true
2559,true,0,0.173,true
2575,true,0,0.162,true
2592,true,0,0.162,true
2609,true,0,0.216,true
2625,true,0,0.157,true
2642,true,0,0.160,true
2658,true,0,0.237,true
2675,true,0,0.158,true
2708,true,0,0.225,true
2724,true,0,0.261,true
2741,true,0,0.221,true
2758,true,0,0.230,true
2774,true,0,0.241,true
2790,true,0,0.283,true
2807,true,0,0.242,true
2826,true,0,0.249,true
2858,true,0,0.217,true
2874,true,0,0.236,true
2891,true,0,0.190,true
2907,true,0,0.233,true
2924,true,0,0.158,true
2941,true,0,0.183,true
2961,true,0,0.185,true
2991,true,0,0.156,true
3007,true,0,0.162,true
3024,true,0,0.155,true
3041,true,0,0.163,true
3058,true,0,0.199,true
3075,true,0,0.177,true
3091,true,0,0.239,true
3107,true,0,0.156,true
