time_ms,gameplay,notes,processing_ms,hud_visible
0,false,0,42.261,false
16,false,0,8.471,false
32,false,0,10.915,false
50,false,0,6.681,false
66,false,0,7.181,false
82,false,0,9.749,false
98,false,0,6.988,false
116,false,0,8.184,false
132,false,0,7.932,false
149,false,0,6.613,false
166,false,0,5.388,false
182,false,0,3.078,false
199,false,0,11.513,false
215,false,0,8.865,false
233,false,0,5.083,false
259,false,0,3.987,false
275,false,0,4.110,false
292,false,0,3.966,false
309,false,0,3.933,false
325,false,0,3.807,false
342,false,0,3.982,false
359,false,0,2.370,false
375,false,0,0.103,false
392,false,0,0.099,false
409,false,0,0.141,false
442,false,0,0.137,false
459,false,0,0.264,false
476,false,0,0.094,false
492,false,0,0.094,false
508,false,0,0.188,false
526,true,0,10.186,true
542,true,0,1.490,true
558,true,0,1.469,true
575,true,0,1.282,true
592,true,0,1.810,true
608,true,0,1.272,true
625,true,0,0.544,true
641,true,0,0.472,true
659,true,0,0.447,true
675,true,0,0.331,true
692,true,0,0.425,true
709,true,0,0.446,true
725,true,0,1.582,true
742,true,0,0.387,true
759,true,0,0.753,true
776,true,0,0.339,true
793,true,0,0.420,true
826,true,0,0.944,true
842,true,0,0.373,true
859,true,0,0.373,true
877,true,0,0.450,true
893,true,0,0.507,true
926,true,0,0.342,true
943,true,0,0.394,true
959,true,0,1.128,true
976,true,0,0.538,true
1009,true,0,0.656,true
1026,true,0,0.357,true
1059,true,0,0.429,true
1076,true,0,0.343,true
1092,true,0,0.361,true
1109,true,0,0.548,true
1126,true,0,0.377,true
1142,true,0,0.208,true
1159,true,0,0.131,true
1176,true,0,0.123,true
1192,true,0,0.171,true
1208,true,0,0.149,true
1226,true,0,0.141,true
1259,true,0,0.154,true
1276,true,0,0.202,true
1293,true,0,0.157,true
1310,true,0,0.127,true
1326,true,0,0.150,true
1342,true,0,0.115,true
1359,true,0,0.150,true
1375,true,0,0.121,true
1393,true,0,0.128,true
1409,true,0,0.121,true
1425,true,0,0.150,true
1441,true,0,0.122,true
1458,true,0,0.130,true
1476,true,0,0.143,true
1492,true,0,0.152,true
1509,true,0,0.133,true
1526,true,0,0.120,true
1544,true,0,0.113,true
1576,true,0,0.674,true
1592,true,0,0.151,true
1608,true,0,0.121,true
1625,true,0,0.113,true
1642,true,0,0.145,true
1659,true,0,0.118,true
1691,true,0,0.122,true
1708,true,0,0.125,true
1724,true,0,0.117,true
1741,true,0,0.127,true
1758,true,0,0.134,true
1775,true,0,0.118,true
1791,true,0,0.135,true
1809,true,0,0.125,true
1841,true,0,0.146,true
1859,true,0,0.171,true
1875,true,0,0.112,true
1892,true,0,0.116,true
1910,true,0,0.162,true
1926,true,0,0.200,true
1942,true,0,0.129,true
1959,true,0,0.126,true
1976,true,0,0.142,true
1992,true,0,0.109,true
2008,true,0,0.125,true
2024,true,0,0.106,true
2041,true,0,0.110,true
2058,true,0,0.113,true
2075,true,0,0.115,true
2093,true,0,0.122,true
2109,true,0,0.134,true
2126,true,0,0.108,true
2142,true,0,0.114,true
2159,true,0,0.114,true
2175,true,0,0.110,true
2192,true,0,0.138,true
2209,true,0,0.126,true
2225,true,0,0.125,true
2241,true,0,0.121,true
2259,true,0,0.286,true
2291,true,0,0.149,true
2308,true,0,0.117,true
2324,true,0,0.171,true
2341,true,0,0.114,true
2357,true,0,0.137,true
2375,true,0,0.103,true
2392,true,0,0.103,true
2409,true,0,0.119,true
2425,true,0,0.099,true
2443,true,0,0.126,true
2459,true,0,0.147,true
2475,true,0,0.135,true
2493,true,0,0.097,true
2509,true,0,0.098,true
2527,true,0,0.102,true
2543,true,0,0.140,true
2559,true,0,0.158,true
2575,true,0,0.101,true
2592,true,0,0.127,true
2609,true,0,0.113,true
2625,true,0,0.098,true
2642,true,0,0.100,true
2658,true,0,0.099,true
2675,true,0,0.135,true
2708,true,0,0.097,true
2724,true,0,0.169,true
2741,true,0,0.103,true
2758,true,0,0.131,true
2774,true,0,0.170,true
2790,true,0,0.138,true
2807,true,0,0.177,true
2826,true,0,0.140,true
2858,true,0,0.124,true
2874,true,0,0.212,true
2891,true,0,0.126,true
2907,true,0,0.405,true
2924,true,0,0.157,true
2941,true,0,0.150,true
2961,true,0,0.121,true
2991,true,0,0.160,true
3007,true,0,0.123,true
3024,true,0,0.117,true
3041,true,0,0.168,true
3058,true,0,0.115,true
3075,true,0,0.110,true
3091,true,0,0.125,true
3107,true,0,0.114,true
3124,true,0,0.112,true
3144,true,0,0.142,true
3175,true,0,0.095,true
3191,true,0,0.139,true
3208,true,0,0.120,true
3224,true,0,0.145,true
3241,true,0,0.082,true
3258,true,0,0.110,true
3275,true,0,0.277,true
3291,true,0,0.084,true
3308,true,0,1.701,true
3324,true,0,0.091,true
3341,true,0,0.083,true
3357,true,0,0.094,true
3375,true,0,0.078,true
3391,true,0,0.129,true
3407,true,0,0.074,true
3424,true,0,0.086,true
3441,true,0,4.254,true
3463,true,0,0.224,true
3492,true,0,0.310,true
3508,true,0,0.225,true
3524,true,0,0.188,true
3541,true,0,0.479,true
3557,true,0,0.472,true
3574,true,0,0.151,true
3591,true,0,0.180,true
3607,true,0,0.291,true
3625,true,0,0.157,true
3641,true,0,0.359,true
3659,true,0,0.396,true
3676,true,0,0.287,true
3694,true,1,3.051,true
3724,true,1,1.680,true
3741,true,1,4.405,true
3758,true,1,1.355,true
3779,true,1,3.413,true
3809,true,1,3.057,true
3826,true,1,6.359,true
3858,true,1,3.295,true
3875,true,1,2.854,true
3893,true,1,3.667,true
3925,true,1,3.036,true
3941,true,1,3.156,true
3959,true,1,3.093,true
3976,true,1,3.626,true
4009,true,1,3.592,true
4041,true,2,9.542,true
4058,true,2,7.756,true
4074,true,2,7.769,true
4092,true,2,6.570,true
4109,true,2,6.259,true
4141,true,1,3.164,true
4157,true,1,2.823,true
4174,true,1,1.202,true
4191,true,1,1.280,true
4208,true,1,1.134,true
4224,true,1,1.315,true
4240,true,1,1.166,true
4257,true,1,1.388,true
4274,true,1,1.618,true
4290,true,1,1.255,true
4307,true,1,1.243,true
4324,true,1,1.242,true
4340,true,1,1.674,true
4358,true,1,1.333,true
4374,true,1,1.394,true
4391,true,2,2.465,true
4410,true,2,2.979,true
4426,true,2,2.968,true
4457,true,1,1.263,true
4474,true,1,0.910,true
4491,true,1,1.051,true
4508,true,1,1.110,true
4524,true,1,1.234,true
4541,true,1,1.108,true
4557,true,1,1.542,true
4574,true,1,1.160,true
4591,true,1,1.056,true
4608,true,1,3.038,true
4624,true,1,1.350,true
4640,true,1,1.230,true
4657,true,1,1.241,true
4674,true,1,1.134,true
4691,true,1,1.881,true
4707,true,1,1.273,true
4725,true,1,1.131,true
4745,true,2,2.395,true
4774,true,2,2.233,true
4790,true,2,2.121,true
4825,true,1,1.252,true
4841,true,1,2.392,true
4857,true,1,1.015,true
4874,true,1,1.591,true
4891,true,1,1.541,true
4907,true,1,1.525,true
4925,true,1,1.159,true
4941,true,1,1.024,true
4957,true,1,1.062,true
4974,true,1,2.181,true
4990,true,1,1.064,true
5007,true,1,1.045,true
5024,true,1,1.464,true
5041,true,1,1.081,true
5057,true,1,1.718,true
5074,true,1,1.246,true
5091,true,1,5.870,true
5107,true,1,1.330,true
5125,true,1,2.610,true
5141,true,1,1.980,true
5157,true,1,1.698,true
5174,true,0,0.343,true
5191,true,0,0.238,true
5208,true,0,0.320,true
5225,true,0,0.317,true
5241,true,0,0.279,true
5258,true,0,0.366,true
5274,true,0,0.311,true
5291,true,0,0.272,true
5307,true,0,0.313,true
5324,true,0,0.272,true
5342,true,0,0.313,true
5358,true,0,0.339,true
5374,true,0,0.258,true
5390,true,0,0.265,true
5407,true,0,0.421,true
5424,true,0,0.302,true
5441,true,0,0.321,true
5457,true,0,0.358,true
5474,true,0,0.322,true
5491,true,0,0.290,true
5507,true,0,0.313,true
5524,true,0,0.393,true
5542,true,0,0.379,true
5559,true,0,0.334,true
5591,true,1,1.098,true
5607,true,1,1.072,true
5624,true,1,1.158,true
5641,true,1,1.463,true
5657,true,2,2.295,true
5674,true,2,3.309,true
5691,true,2,2.480,true
5708,true,2,2.024,true
5724,true,2,1.676,true
5741,true,2,2.281,true
5758,true,2,2.086,true
5774,true,2,1.675,true
5791,true,2,1.970,true
5807,true,3,2.062,true
5824,true,3,2.830,true
5840,true,3,2.921,true
5857,true,3,3.377,true
5874,true,3,2.435,true
5890,true,3,2.386,true
5908,true,3,2.388,true
5924,true,3,2.802,true
5941,true,4,3.290,true
5957,true,4,2.998,true
