time_ms,gameplay,notes,processing_ms
0,false,0,32.468
26,false,0,0.046
42,false,0,0.137
62,false,0,0.104
83,false,0,0.125
102,false,0,0.058
122,false,0,0.050
142,false,0,0.071
163,false,0,0.046
183,false,0,0.041
203,false,0,0.038
224,false,0,0.041
245,false,0,0.038
266,false,0,0.031
287,false,0,0.042
316,false,0,0.180
332,false,0,0.033
349,false,0,0.072
365,false,0,0.030
384,false,0,0.031
416,false,0,0.029
433,false,0,0.071
466,false,0,0.030
498,false,0,0.031
516,false,0,0.035
532,false,0,0.090
548,false,0,0.048
583,false,0,0.053
633,false,0,0.035
654,false,0,0.036
690,false,0,0.031
715,false,0,0.029
731,false,0,0.031
790,false,0,0.035
850,false,0,0.066
882,false,0,0.029
908,false,0,0.063
949,false,0,0.030
982,false,0,0.030
1016,false,0,0.032
1049,false,0,0.036
1083,false,0,0.039
1099,false,0,0.044
1116,false,0,0.046
1149,false,0,0.088
1182,false,0,0.049
1200,false,0,0.041
1233,false,0,0.036
1266,false,0,0.060
1300,false,0,0.041
1332,false,0,0.065
1366,false,0,0.043
1406,false,0,0.044
1433,false,0,0.042
1467,false,0,0.035
1501,false,0,0.066
1534,false,0,0.030
1566,false,0,0.027
1599,false,0,0.028
1633,false,0,0.078
1666,false,0,0.032
1709,false,0,0.077
1742,false,0,0.101
1766,false,0,0.075
1800,false,0,0.036
1822,false,0,0.035
1852,false,0,0.052
1899,false,0,0.049
1926,false,0,0.041
1948,false,0,0.040
1965,false,0,0.036
1981,false,0,0.034
1998,false,0,0.039
2015,false,0,0.038
2037,false,0,0.033
2066,false,0,0.033
2082,false,0,0.039
2099,false,0,0.064
2115,false,0,0.040
2138,false,0,0.042
2166,false,0,0.084
2183,false,0,0.039
2199,false,0,0.038
2216,false,0,0.037
2232,false,0,0.041
2249,false,0,0.077
2277,false,0,0.039
2299,false,0,0.094
2316,false,0,0.048
2333,false,0,0.045
2350,false,0,0.041
2382,false,0,0.034
2399,false,0,0.031
2416,false,0,0.081
2432,false,0,0.032
2455,false,0,0.036
2482,false,0,0.064
2499,false,0,0.033
2516,false,0,0.069
2532,false,0,0.042
2555,false,0,0.038
2582,false,0,0.064
2599,false,0,0.045
2616,false,0,0.042
2632,false,0,0.091
2653,false,0,0.051
2682,false,0,0.082
2699,false,0,0.087
2716,false,0,0.109
2732,false,0,0.051
2763,false,0,0.054
2784,false,0,0.101
2816,false,0,0.051
2832,false,0,0.053
2854,false,0,0.050
2882,false,0,0.085
2899,false,0,0.071
2915,false,0,0.054
2932,false,0,0.042
2950,false,0,0.031
2966,false,0,0.058
2987,false,0,0.089
3015,false,0,0.058
3033,false,0,0.173
3049,false,0,0.108
3072,false,0,0.095
3099,false,0,0.081
3116,false,0,0.082
3132,false,0,0.101
3149,false,0,0.046
3166,false,0,0.063
3183,false,0,0.093
3212,false,0,0.055
3233,false,0,0.058
3249,false,0,0.103
3267,false,0,0.046
3283,false,0,0.038
3299,false,0,0.034
3316,false,0,0.031
3332,false,0,0.027
3349,false,0,0.029
3366,false,0,0.028
3396,false,0,0.071
3417,false,0,0.035
3449,false,0,0.028
3466,true,0,10.315
3497,true,0,0.950
3519,true,0,1.229
3549,false,0,0.063
3566,false,0,0.046
3583,false,0,0.080
3601,false,0,0.097
3632,false,0,0.041
3649,false,0,0.043
3676,false,0,0.070
3699,false,0,0.036
3716,false,0,0.037
3732,false,0,0.082
3749,false,0,0.035
3779,false,0,0.094
3800,false,0,0.074
3816,false,0,0.061
3832,false,0,0.038
3849,false,0,0.037
3866,false,0,0.040
3889,false,0,0.034
3916,false,0,0.035
3932,false,0,0.074
3949,false,0,0.040
3966,false,0,0.037
3983,false,0,0.073
3999,false,0,0.040
4016,false,0,0.038
4032,false,0,0.035
4065,false,0,0.033
4084,false,0,0.038
4100,false,0,0.036
4116,false,0,0.033
4133,false,0,0.030
4149,false,0,0.035
4166,false,0,0.072
4182,false,0,0.045
4200,false,0,0.042
4236,false,0,0.041
4266,false,0,0.034
4283,false,0,0.036
4301,false,0,0.031
4318,false,0,0.037
4334,false,0,0.037
4350,false,0,0.039
4367,false,0,0.075
4384,false,0,0.029
4401,false,0,0.029
4423,false,0,0.062
4450,false,0,0.044
