frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
8051,8050,8056,2,1,HOLD_END,8909,false
8067,8066,8074,2,1,HOLD_END,8872,true
8085,8082,8092,2,1,HOLD_END,8878,true
8118,8117,8125,2,1,HOLD_END,8886,true
8152,8151,8161,2,1,HOLD_END,8894,true
8184,8182,8193,2,1,HOLD_END,8868,true
8202,8200,8208,2,1,HOLD_END,8854,true
8234,8233,8240,2,1,HOLD_END,8867,true
8251,8249,8255,2,1,HOLD_END,8864,true
8267,8266,8269,2,1,HOLD_END,8876,true
8284,8283,8288,2,1,HOLD_END,8884,true
8301,8300,8311,2,1,HOLD_END,8882,true
8318,8316,8325,2,1,HOLD_END,8880,true
8334,8332,8341,2,1,HOLD_END,8882,true
8350,8349,8359,2,1,HOLD_END,8888,true
8368,8366,8376,1,1,HOLD_START,8414,false
8368,8366,8376,2,1,HOLD_END,8884,true
8384,8383,8391,2,1,HOLD_END,8893,true
8401,8400,8409,2,1,HOLD_END,8897,true
8419,8417,8425,2,1,HOLD_END,8905,true
8833,8832,8842,3,2,TAP,8877,false
9066,9065,9078,4,3,UP,9113,false
9084,9083,9091,4,3,UP,9115,true
9283,9282,9292,8,1,HOLD_END,10028,false
9300,9299,9310,8,1,HOLD_END,10076,true
9317,9316,9325,5,2,TAP,9358,false
9317,9316,9325,8,1,HOLD_END,10084,true
9350,9349,9359,8,1,HOLD_END,10080,true
9368,9367,9375,8,1,HOLD_END,10078,true
9400,9399,9407,8,1,HOLD_END,10053,true
9416,9415,9423,8,1,HOLD_END,10051,true
9433,9432,9440,8,1,HOLD_END,10048,true
9450,9449,9459,8,1,HOLD_END,10055,true
9467,9466,9473,8,1,HOLD_END,10058,true
9484,9483,9491,8,1,HOLD_END,10069,true
9500,9499,9507,8,1,HOLD_END,10066,true
9517,9516,9524,8,1,HOLD_END,10073,true
9534,9533,9541,8,1,HOLD_END,10077,true
9550,9549,9557,6,1,HOLD_START,9598,false
9550,9549,9557,8,1,HOLD_END,10071,true
9567,9566,9573,8,1,HOLD_END,10078,true
9583,9582,9593,8,1,HOLD_END,10075,true
9600,9599,9609,8,1,HOLD_END,10079,true
9983,9982,9993,11,1,HOLD_END,10799,false
10016,10015,10025,11,1,HOLD_END,10786,true
10033,10032,10042,9,3,UP,10075,false
10033,10032,10042,11,1,HOLD_END,10782,true
10100,10099,10105,11,1,HOLD_END,10784,true
10133,10132,10137,11,1,HOLD_END,10780,true
10216,10215,10219,11,1,HOLD_END,10787,true
10250,10249,10254,11,1,HOLD_END,10793,true
10266,10265,10269,10,1,HOLD_START,10317,false
10284,10283,10288,11,1,HOLD_END,10797,true
10316,10315,10323,11,1,HOLD_END,10791,true
10750,10749,10758,12,2,TAP,10797,false
11000,10999,11011,13,3,UP,11035,false
11200,11199,11210,16,1,HOLD_END,12006,false
11218,11217,11228,16,1,HOLD_END,12009,true
11250,11249,11261,14,2,TAP,11277,false
11250,11249,11261,16,1,HOLD_END,11985,true
11267,11266,11277,16,1,HOLD_END,11983,true
11285,11282,11295,16,1,HOLD_END,11976,true
11317,11316,11322,16,1,HOLD_END,11968,true
11333,11332,11341,16,1,HOLD_END,11974,true
11350,11349,11357,16,1,HOLD_END,11980,true
11383,11382,11390,16,1,HOLD_END,11983,true
11400,11399,11407,16,1,HOLD_END,11997,true
11416,11415,11423,16,1,HOLD_END,11992,true
11433,11432,11440,16,1,HOLD_END,11987,true
11450,11449,11457,16,1,HOLD_END,11990,true
11467,11466,11474,15,1,HOLD_START,11519,false
11467,11466,11474,16,1,HOLD_END,11995,true
11483,11482,11490,16,1,HOLD_END,11991,true
11500,11499,11507,16,1,HOLD_END,11996,true
11517,11516,11528,16,1,HOLD_END,12006,true
11917,11916,11927,19,1,HOLD_END,12750,false
11933,11932,11941,19,1,HOLD_END,12726,true
11950,11949,11960,17,3,UP,11995,false
11950,11949,11960,19,1,HOLD_END,12717,true
11967,11966,11977,19,1,HOLD_END,12714,true
11983,11982,11992,19,1,HOLD_END,12709,true
11999,11998,12004,19,1,HOLD_END,12701,true
12016,12015,12022,19,1,HOLD_END,12684,true
12033,12032,12040,19,1,HOLD_END,12687,true
12050,12049,12056,19,1,HOLD_END,12691,true
12083,12082,12090,19,1,HOLD_END,12698,true
12100,12099,12107,19,1,HOLD_END,12708,true
12117,12116,12123,19,1,HOLD_END,12713,true
12134,12133,12141,19,1,HOLD_END,12716,true
12150,12149,12157,19,1,HOLD_END,12713,true
12200,12199,12207,18,1,HOLD_START,12238,false
12200,12199,12207,19,1,HOLD_END,12709,true
12217,12216,12223,19,1,HOLD_END,12712,true
12233,12232,12243,19,1,HOLD_END,12709,true
12250,12249,12258,19,1,HOLD_END,12713,true
12683,12682,12697,20,2,TAP,12719,false
12916,12915,12925,21,3,UP,12955,false
13116,13115,13120,25,1,HOLD_END,13924,false
13133,13132,13144,25,1,HOLD_END,13920,true
13150,13149,13156,22,2,TAP,13197,false
13150,13149,13156,25,1,HOLD_END,13917,true
13167,13166,13177,25,1,HOLD_END,13915,true
13183,13182,13192,25,1,HOLD_END,13910,true
13200,13199,13209,25,1,HOLD_END,13898,true
13217,13216,13221,25,1,HOLD_END,13889,true
13250,13249,13257,25,1,HOLD_END,13893,true
13266,13265,13274,25,1,HOLD_END,13889,true
13284,13283,13292,25,1,HOLD_END,13901,true
13300,13299,13306,25,1,HOLD_END,13913,true
13317,13316,13324,25,1,HOLD_END,13911,true
13334,13333,13341,25,1,HOLD_END,13917,true
13351,13350,13357,25,1,HOLD_END,13919,true
13367,13366,13374,25,1,HOLD_END,13917,true
13383,13382,13390,25,1,HOLD_END,13909,true
13400,13399,13407,23,1,HOLD_START,13438,false
13416,13415,13423,25,1,HOLD_END,13907,true
13433,13432,13443,25,1,HOLD_END,13904,true
13450,13449,13460,25,1,HOLD_END,13909,true
13834,13833,13843,28,1,HOLD_END,14669,false
13850,13849,13859,28,1,HOLD_END,14633,true
13867,13866,13876,26,3,UP,13915,false
