time_ms,lane,kind,y,score
6074,1,TAP,0.6192308,1.0000
6074,2,TAP,0.4826923,1.0000
6074,3,TAP,0.6192308,1.0000
6090,1,TAP,0.6293364,1.0000
6090,2,TAP,0.4913462,1.0000
6090,3,TAP,0.6293364,1.0000
6107,1,TAP,0.6399161,1.0000
6107,2,TAP,0.5004808,1.0000
6107,3,TAP,0.6399161,1.0000
6124,1,TAP,0.6504942,1.0000
6124,2,TAP,0.5096154,1.0000
6124,3,TAP,0.6504942,1.0000
6140,1,TAP,0.6601016,1.0000
6140,2,TAP,0.5187500,1.0000
6140,3,TAP,0.6601083,1.0000
6157,1,TAP,0.6711484,1.0000
6157,1,TAP,0.5278902,1.0000
6157,2,TAP,0.5279061,1.0000
6157,3,TAP,0.6711484,1.0000
6174,1,TAP,0.6822115,1.0000
6174,1,TAP,0.5375095,1.0000
6174,2,TAP,0.5375000,1.0000
6174,3,TAP,0.6822169,1.0000
6190,1,TAP,0.6923149,1.0000
6190,1,TAP,0.5471281,1.0000
6190,2,TAP,0.5471154,1.0000
6190,3,TAP,0.6923202,1.0000
6206,1,TAP,0.7033773,1.0000
6206,1,TAP,0.5567308,1.0000
6206,2,TAP,0.5567308,1.0000
6206,3,TAP,0.7033773,1.0000
6223,1,TAP,0.7139554,1.0000
6223,1,TAP,0.5663406,1.0000
6223,2,TAP,0.5663462,1.0000
6223,3,TAP,0.7139541,1.0000
6240,1,TAP,0.7249912,1.0000
6240,1,TAP,0.5759741,1.0000
6240,2,TAP,0.5759615,1.0000
6240,3,TAP,0.7249929,1.0000
6257,1,TAP,0.5855769,1.0000
6257,2,TAP,0.5855754,1.0000
6274,1,TAP,0.5951923,1.0000
6274,2,TAP,0.5952031,1.0000
6290,1,TAP,0.6052816,1.0000
6290,2,TAP,0.6052995,1.0000
6308,1,TAP,0.6153846,1.0000
6308,2,TAP,0.6153846,1.0000
6324,1,TAP,0.6254930,1.0000
6324,2,TAP,0.6254808,1.0000
6340,1,TAP,0.6360577,1.0000
6340,2,TAP,0.6360577,1.0000
6357,1,TAP,0.6461538,1.0000
6357,2,TAP,0.6461538,1.0000
6374,1,TAP,0.6562379,1.0000
6374,2,TAP,0.6562634,1.0000
6390,1,TAP,0.6668323,1.0000
6390,2,TAP,0.6668269,1.0000
6407,1,TAP,0.6774052,1.0000
6407,1,TAP,0.5336634,1.0000
6407,2,TAP,0.6774038,1.0000
6424,1,TAP,0.6879901,1.0000
6424,1,TAP,0.5432573,1.0000
6424,2,TAP,0.6879808,1.0000
6441,1,TAP,0.6985537,1.0000
6441,1,TAP,0.5528846,1.0000
6441,2,TAP,0.6985577,1.0000
6457,1,TAP,0.7096207,1.0000
6457,1,TAP,0.5624937,1.0000
6457,2,TAP,0.7096444,1.0000
6474,1,TAP,0.7211486,1.0000
6474,1,TAP,0.5721154,1.0000
6474,2,TAP,0.7211538,1.0000
6491,1,TAP,0.5817214,1.0000
6507,1,TAP,0.5913462,1.0000
6524,1,TAP,0.6014519,1.0000
6541,1,TAP,0.6115509,1.0000
6557,1,TAP,0.6216346,1.0000
6575,1,TAP,0.6322020,1.0000
