time_ms,lane,kind,y,score
10617,3,UP,0.4841346,0.9519
10634,3,UP,0.4956731,0.9450
10651,3,UP,0.5072115,0.9444
10683,3,UP,0.5307692,0.9513
10700,3,UP,0.5427885,0.9395
10716,3,UP,0.5543269,0.9082
10733,3,UP,0.5663462,0.9070
10751,3,UP,0.5793269,0.9184
10784,2,TAP,0.4841346,1.0000
10784,3,UP,0.6038462,0.9065
10816,2,TAP,0.5067308,1.0000
10816,3,UP,0.6293269,0.8826
10833,2,TAP,0.5182692,1.0000
10833,3,UP,0.6427885,0.9019
10850,2,TAP,0.5298132,1.0000
10850,3,UP,0.6557692,0.8806
10866,2,TAP,0.5418269,1.0000
10866,3,UP,0.6692308,0.8679
10883,2,TAP,0.5538462,1.0000
10883,3,UP,0.6826923,0.8700
10900,2,TAP,0.5653846,1.0000
10900,3,UP,0.6961538,0.8524
10916,2,TAP,0.5779081,1.0000
10916,3,UP,0.7100962,0.8443
10934,2,TAP,0.5899148,1.0000
10934,3,UP,0.7240385,0.8592
10950,1,TAP,0.4942209,1.0000
10950,2,TAP,0.6149038,1.0000
10966,1,TAP,0.5057789,1.0000
10966,2,TAP,0.6278846,1.0000
10983,1,TAP,0.5173077,1.0000
10983,2,TAP,0.6408654,1.0000
11000,1,TAP,0.5288462,1.0000
11000,2,TAP,0.6533763,1.0000
11017,1,TAP,0.5403791,1.0000
11017,2,TAP,0.6668269,1.0000
11033,1,TAP,0.5524038,1.0000
11033,2,TAP,0.6793269,1.0000
11050,1,TAP,0.5644113,1.0000
11050,2,TAP,0.6932692,1.0000
11066,1,TAP,0.5764563,1.0000
11066,2,TAP,0.7067529,1.0000
11083,1,TAP,0.5884733,1.0000
11083,2,TAP,0.7206731,1.0000
11100,1,TAP,0.6014464,1.0000
11100,3,TAP,0.4817308,1.0000
11116,1,TAP,0.6139478,1.0000
11116,3,TAP,0.4932568,1.0000
11133,1,TAP,0.6264559,1.0000
11133,3,TAP,0.5043269,1.0000
11150,1,TAP,0.6389559,1.0000
11150,3,TAP,0.5158654,1.0000
11167,1,TAP,0.6519279,1.0000
11167,3,TAP,0.5278846,1.0000
11183,1,TAP,0.6649132,1.0000
11183,3,TAP,0.5394231,1.0000
11200,1,TAP,0.6783694,1.0000
11200,3,TAP,0.5509615,1.0000
11216,1,TAP,0.6918388,1.0000
11216,3,TAP,0.5629724,1.0000
11233,1,TAP,0.7052937,1.0000
11233,3,TAP,0.5750126,1.0000
11250,1,TAP,0.7187552,1.0000
11250,3,TAP,0.5875071,1.0000
11267,2,UP,0.4793269,0.8286
11267,3,TAP,0.6000116,1.0000
11283,2,UP,0.4908654,0.8286
11283,3,TAP,0.6125093,1.0000
11300,2,UP,0.5019231,0.8199
11300,3,TAP,0.6245288,1.0000
11316,2,UP,0.5134615,0.8227
11316,3,TAP,0.6375115,1.0000
11333,2,UP,0.5254808,0.8246
11333,3,TAP,0.6504942,1.0000
11350,2,UP,0.5375000,0.8238
11350,3,TAP,0.6639517,1.0000
11367,2,UP,0.5490385,0.8190
11367,3,TAP,0.6764410,1.0000
11383,2,UP,0.5615385,0.8278
11383,3,TAP,0.6903995,1.0000
11400,2,UP,0.5730769,0.8294
11400,3,TAP,0.7038587,1.0000
11416,2,UP,0.5860577,0.8193
11416,3,TAP,0.7173130,1.0000
11433,2,UP,0.5980769,0.8173
11433,3,TAP,0.7312618,1.0000
11433,3,TAP,0.4793269,1.0000
11450,2,UP,0.6110577,0.8201
11450,3,TAP,0.4903747,1.0000
11466,2,UP,0.6240385,0.8213
11466,3,TAP,0.5019231,1.0000
11483,2,UP,0.6365385,0.8193
11483,3,TAP,0.5134485,1.0000
11499,2,UP,0.6500000,0.8155
11499,3,TAP,0.5250121,1.0000
11516,2,UP,0.6629808,0.8193
11516,3,TAP,0.5365504,1.0000
11533,2,UP,0.6769231,0.8261
11533,3,TAP,0.5485704,1.0000
11551,2,UP,0.6899038,0.8175
11551,3,TAP,0.5605808,1.0000
11567,2,UP,0.7038462,0.8252
11567,3,TAP,0.5721154,1.0000
11583,2,UP,0.7177885,0.8281
11583,3,TAP,0.5846083,1.0000
11599,2,UP,0.7317308,0.8241
11599,3,TAP,0.5971247,1.0000
11616,3,TAP,0.6091526,1.0000
11633,3,TAP,0.6221154,1.0000
11650,1,DOWN,0.5105769,0.7608
11650,3,TAP,0.6350921,1.0000
11667,3,TAP,0.6476016,1.0000
11683,1,DOWN,0.5346154,0.7814
11683,3,TAP,0.6610711,1.0000
11699,1,DOWN,0.5466346,0.7667
11699,3,TAP,0.6740355,1.0000
11716,1,DOWN,0.5581731,0.7816
11716,3,TAP,0.6870246,1.0000
11733,1,DOWN,0.5706731,0.7617
11733,3,TAP,0.7004887,1.0000
11749,1,DOWN,0.5831731,0.8064
11749,3,TAP,0.7139554,1.0000
11767,1,DOWN,0.5951923,0.7869
11767,2,TAP,0.4769345,1.0000
11767,3,TAP,0.7283693,1.0000
11783,1,DOWN,0.6081731,0.7981
11783,2,TAP,0.4879808,1.0000
11800,1,DOWN,0.6211538,0.7991
11800,2,TAP,0.4995192,1.0000
11816,1,DOWN,0.6336538,0.8200
11816,2,TAP,0.5105769,1.0000
11833,1,DOWN,0.6471154,0.7907
11833,2,TAP,0.5221154,1.0000
11850,1,DOWN,0.6600962,0.8271
11850,2,TAP,0.5336538,1.0000
11867,1,DOWN,0.6730769,0.8271
11867,2,TAP,0.5461538,1.0000
11883,1,DOWN,0.6870192,0.8278
11883,2,TAP,0.5576923,1.0000
11900,1,DOWN,0.7009615,0.8255
11900,2,TAP,0.5701923,1.0000
11916,1,DOWN,0.7144231,0.8219
11916,2,TAP,0.5817416,1.0000
11933,1,DOWN,0.7288462,0.8271
