time_ms,lane,kind,y,score
9400,1,HOLD_START,0.3567308,0.9800
9416,1,HOLD_START,0.3629808,0.9800
9433,1,HOLD_START,0.3697241,0.9800
9450,1,HOLD_START,0.3764485,0.9800
9466,1,HOLD_START,0.3831731,0.9800
9483,1,HOLD_START,0.3899141,0.9800
9500,1,HOLD_START,0.3966448,0.9800
9517,1,HOLD_START,0.4038462,0.9800
9533,1,HOLD_START,0.4110577,0.9800
9550,1,HOLD_START,0.4177985,0.9800
9567,1,HOLD_START,0.4250132,0.9800
9600,1,HOLD_START,0.4389423,0.9800
9616,1,HOLD_START,0.4466443,0.9800
9633,1,HOLD_START,0.4533654,0.9800
9650,1,HOLD_START,0.4610577,0.9800
9666,1,HOLD_START,0.4682692,0.9800
9683,1,HOLD_START,0.4759674,0.9800
9701,1,HOLD_START,0.4831844,0.9800
9717,1,HOLD_START,0.4903846,0.9800
9733,1,HOLD_START,0.4980769,0.9800
9750,1,HOLD_START,0.5057692,0.9800
9766,1,HOLD_START,0.5134591,0.9800
9766,1,HOLD_END,0.3245192,0.9600
9784,1,HOLD_START,0.5211595,0.9800
9784,1,HOLD_END,0.3302885,0.9600
9816,1,HOLD_START,0.5365504,0.9800
9816,1,HOLD_END,0.3427885,0.9600
9833,1,HOLD_START,0.5442244,0.9800
9833,1,HOLD_END,0.3495192,0.9600
9851,1,HOLD_START,0.5524038,0.9800
9851,1,HOLD_END,0.3562500,0.9600
9867,1,HOLD_START,0.5605832,0.9800
9867,1,HOLD_END,0.3629808,0.9600
9884,1,HOLD_START,0.5682692,0.9800
9884,1,HOLD_END,0.3697115,0.9600
9900,1,HOLD_START,0.5764563,0.9800
9900,1,HOLD_END,0.3764423,0.9600
9917,1,HOLD_START,0.5846091,0.9800
9917,1,HOLD_END,0.3831731,0.9600
9933,1,HOLD_START,0.5927885,0.9800
9933,1,HOLD_END,0.3899038,0.9600
9949,1,HOLD_START,0.6009708,0.9800
9949,1,HOLD_END,0.3966346,0.9600
9966,1,HOLD_START,0.6091470,0.9800
9966,1,HOLD_END,0.4033654,0.9600
9984,1,HOLD_START,0.6177885,0.9800
9984,1,HOLD_END,0.4110577,0.9600
10015,1,HOLD_START,0.6350880,0.9800
10015,1,HOLD_END,0.4245192,0.9600
10032,1,HOLD_START,0.6437500,0.9800
10032,1,HOLD_END,0.4322115,0.9600
10048,1,HOLD_START,0.6519279,0.9800
10048,1,HOLD_END,0.4389423,0.9600
10065,1,HOLD_START,0.6605860,0.9800
10065,1,HOLD_END,0.4466346,0.9600
10082,1,HOLD_START,0.6697115,0.9800
10082,1,HOLD_END,0.4533654,0.9600
10098,1,HOLD_START,0.6783694,0.9800
10098,1,HOLD_END,0.4610577,0.9600
10115,1,HOLD_START,0.6870246,0.9800
10115,1,HOLD_END,0.4687500,0.9600
10132,1,HOLD_START,0.6961389,0.9800
10132,1,HOLD_END,0.4754808,0.9600
10149,1,HOLD_START,0.7052937,0.9800
10149,1,HOLD_END,0.4831731,0.9600
10166,1,HOLD_START,0.7139554,0.9800
10166,1,HOLD_END,0.4908654,0.9600
10166,2,TAP,0.4774038,1.0000
10187,1,HOLD_START,0.7327017,0.9800
10187,1,HOLD_END,0.5062500,0.9600
10187,2,TAP,0.4918269,1.0000
10215,2,TAP,0.5072115,1.0000
10232,2,TAP,0.5149038,1.0000
10248,2,TAP,0.5225962,1.0000
10265,2,TAP,0.5302885,1.0000
10282,2,TAP,0.5384615,1.0000
10299,2,TAP,0.5461538,1.0000
10315,2,TAP,0.5538462,1.0000
10332,2,TAP,0.5615385,1.0000
10349,2,TAP,0.5701923,1.0000
10365,2,TAP,0.5779081,1.0000
10382,2,TAP,0.5860687,1.0000
10398,2,TAP,0.5947005,1.0000
10398,3,UP,0.4798077,0.9589
10415,2,TAP,0.6024038,1.0000
10415,3,UP,0.4875000,0.9488
10432,2,TAP,0.6110577,1.0000
10432,3,UP,0.4951923,0.9349
10449,2,TAP,0.6197115,1.0000
10449,3,UP,0.5028846,0.9466
10465,2,TAP,0.6278846,1.0000
10465,3,UP,0.5105769,0.9444
10483,2,TAP,0.6360577,1.0000
10483,3,UP,0.5182692,0.9491
10515,2,TAP,0.6533763,1.0000
10515,3,UP,0.5336538,0.9124
10532,2,TAP,0.6625000,1.0000
10532,3,UP,0.5423077,0.9563
10549,2,TAP,0.6711538,1.0000
10549,3,UP,0.5504808,0.9355
10565,2,TAP,0.6802885,1.0000
10565,3,UP,0.5581731,0.9299
10582,2,TAP,0.6889423,1.0000
10582,3,UP,0.5663462,0.9091
10598,2,TAP,0.6980769,1.0000
10598,3,UP,0.5745192,0.9070
10615,2,TAP,0.7067529,1.0000
10615,3,UP,0.5822115,0.8998
10632,2,TAP,0.7158654,1.0000
10632,2,TAP,0.4788462,1.0000
10632,3,UP,0.5908654,0.8904
10649,2,TAP,0.7250000,1.0000
10649,2,TAP,0.4855769,1.0000
10649,3,UP,0.5990385,0.9053
10665,1,HOLD_START,0.3899141,0.9800
10665,2,TAP,0.4932692,1.0000
10665,3,UP,0.6076923,0.9184
10682,1,HOLD_START,0.3966448,0.9800
10682,2,TAP,0.5009615,1.0000
10682,3,UP,0.6158654,0.8951
10698,1,HOLD_START,0.4038462,0.9800
10698,2,TAP,0.5086538,1.0000
10698,3,UP,0.6250000,0.8868
10715,1,HOLD_START,0.4110577,0.9800
