time_ms,lane,kind,y,score
11183,3,TAP,0.4759615,1.0000
11201,3,TAP,0.4831731,1.0000
11217,3,TAP,0.4903747,1.0000
11234,3,TAP,0.4980769,1.0000
11250,3,TAP,0.5057692,1.0000
11266,3,TAP,0.5134493,1.0000
11284,3,TAP,0.5211538,1.0000
11317,3,TAP,0.5365504,1.0000
11334,3,TAP,0.5447087,1.0000
11350,3,TAP,0.5524038,1.0000
11366,3,TAP,0.5605808,1.0000
11383,3,TAP,0.5682692,1.0000
11401,3,TAP,0.5769348,1.0000
11417,3,TAP,0.5846083,1.0000
11434,3,TAP,0.5932692,1.0000
11451,3,TAP,0.6014464,1.0000
11467,3,TAP,0.6091470,1.0000
11483,3,TAP,0.6177885,1.0000
11500,3,TAP,0.6264559,1.0000
11516,3,TAP,0.6350880,1.0000
11534,3,TAP,0.6437500,1.0000
11550,3,TAP,0.6524079,1.0000
11567,3,TAP,0.6610711,1.0000
11583,3,TAP,0.6697115,1.0000
11600,3,TAP,0.6783694,1.0000
11617,3,TAP,0.6870246,1.0000
11633,3,TAP,0.6966213,1.0000
11650,2,TAP,0.4826923,1.0000
11650,3,TAP,0.7052937,1.0000
11667,2,TAP,0.4903846,1.0000
11667,3,TAP,0.7144372,1.0000
11683,2,TAP,0.4980769,1.0000
11683,3,TAP,0.7235485,1.0000
11700,2,TAP,0.5125000,1.0000
11733,2,TAP,0.5283880,1.0000
11749,2,TAP,0.5360577,1.0000
11766,2,TAP,0.5442308,1.0000
11782,2,TAP,0.5519231,1.0000
11799,2,TAP,0.5600962,1.0000
11816,2,TAP,0.5677885,1.0000
11833,2,TAP,0.5759726,1.0000
11850,2,TAP,0.5841346,1.0000
11866,2,TAP,0.5923077,1.0000
11882,2,TAP,0.6009615,1.0000
11899,2,TAP,0.6091346,1.0000
11915,2,TAP,0.6177885,1.0000
11932,2,TAP,0.6254808,1.0000
11949,2,TAP,0.6341346,1.0000
11966,2,TAP,0.6427885,1.0000
11982,2,TAP,0.6514423,1.0000
11999,2,TAP,0.6601069,1.0000
12015,2,TAP,0.6687500,1.0000
12033,2,TAP,0.6778846,1.0000
12050,2,TAP,0.6865385,1.0000
12066,2,TAP,0.6956731,1.0000
12082,2,TAP,0.7048131,1.0000
12099,2,TAP,0.7134721,1.0000
12116,2,TAP,0.7230769,1.0000
12299,1,TAP,0.4778846,1.0000
12315,1,TAP,0.4855769,1.0000
12333,1,TAP,0.4932569,1.0000
12349,1,TAP,0.5004808,1.0000
12366,1,TAP,0.5081841,1.0000
12382,1,TAP,0.5158654,1.0000
12399,1,TAP,0.5235688,1.0000
12416,1,TAP,0.5317308,1.0000
12433,1,TAP,0.5394231,1.0000
12449,1,TAP,0.5471281,1.0000
12467,1,TAP,0.5548077,1.0000
12484,1,TAP,0.5629724,1.0000
12516,1,TAP,0.5793325,1.0000
12532,1,TAP,0.5875126,1.0000
12532,2,TAP,0.4817308,1.0000
12549,1,TAP,0.5951923,1.0000
12549,2,TAP,0.4889423,1.0000
12566,1,TAP,0.6038345,1.0000
12566,2,TAP,0.4966346,1.0000
12582,1,TAP,0.6125093,1.0000
12582,2,TAP,0.5043269,1.0000
12599,1,TAP,0.6206731,1.0000
12599,2,TAP,0.5115385,1.0000
12616,1,TAP,0.6293310,1.0000
12616,2,TAP,0.5192308,1.0000
12632,1,TAP,0.6375061,1.0000
12632,2,TAP,0.5269479,1.0000
12649,1,TAP,0.6461538,1.0000
12649,2,TAP,0.5350962,1.0000
12666,1,TAP,0.6552750,1.0000
12666,2,TAP,0.5432692,1.0000
12682,1,TAP,0.6634760,1.0000
12682,2,TAP,0.5509615,1.0000
12699,1,TAP,0.6725908,1.0000
12699,2,TAP,0.5586538,1.0000
12715,1,TAP,0.6812594,1.0000
12715,2,TAP,0.5668269,1.0000
12732,1,TAP,0.6903995,1.0000
12732,2,TAP,0.5745192,1.0000
12749,1,TAP,0.6990385,1.0000
12749,2,TAP,0.5831621,1.0000
12765,1,TAP,0.7081731,1.0000
12765,2,TAP,0.5913462,1.0000
12783,1,TAP,0.7173130,1.0000
12783,2,TAP,0.5995192,1.0000
12799,1,TAP,0.7264344,1.0000
12799,2,TAP,0.6076923,1.0000
12816,2,TAP,0.6163462,1.0000
12833,2,TAP,0.6245192,1.0000
12849,2,TAP,0.6331731,1.0000
12866,2,TAP,0.6418269,1.0000
12883,2,TAP,0.6504808,1.0000
12899,2,TAP,0.6591534,1.0000
12915,2,TAP,0.6677885,1.0000
12932,2,TAP,0.6764423,1.0000
12949,2,TAP,0.6850962,1.0000
12966,2,TAP,0.6942308,1.0000
12982,2,TAP,0.7033654,1.0000
12999,2,TAP,0.7125147,1.0000
13015,2,TAP,0.7216346,1.0000
13199,1,TAP,0.4774038,1.0000
13215,1,TAP,0.4846154,1.0000
13232,1,TAP,0.4918157,1.0000
13249,1,TAP,0.4995192,1.0000
13266,1,TAP,0.5072226,1.0000
13283,1,TAP,0.5148983,1.0000
13299,1,TAP,0.5226054,1.0000
13315,1,TAP,0.5302885,1.0000
13332,1,TAP,0.5384671,1.0000
13349,1,TAP,0.5461602,1.0000
