frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
9700,9699,9712,1,3,TAP,9748,false
9717,9716,9731,1,3,TAP,9746,true
10132,10132,10147,2,2,TAP,10181,false
10800,10800,10830,3,1,TAP,10859,false
11033,11033,11055,4,2,TAP,11084,false
11716,11715,11729,5,1,TAP,11758,false
11933,11933,11947,6,2,TAP,11986,false
12616,12616,12629,7,1,TAP,12662,false
12849,12849,12862,8,2,TAP,12887,false
13300,13300,13315,9,3,TAP,13340,false
13749,13749,13763,10,2,TAP,13790,false
14417,14416,14432,11,1,TAP,14467,false
14649,14649,14662,12,2,TAP,14692,false
15316,15316,15330,13,1,TAP,15369,false
15550,15550,15564,14,2,TAP,15594,false
16232,16232,16246,15,1,TAP,16270,false
16449,16448,16462,16,2,TAP,16496,false
16899,16899,16912,17,3,TAP,16948,false
17349,17349,17362,18,2,TAP,17399,false
18013,17998,18047,19,1,TAP,18076,false
18249,18248,18284,20,2,TAP,18300,false
18904,18898,18939,21,1,TAP,18977,false
19151,19148,19185,22,2,TAP,19204,false
19800,19798,19834,23,1,TAP,19880,false
20046,20031,20079,24,2,TAP,20104,false
20483,20482,20515,25,3,TAP,20560,false
20950,20948,20983,26,2,TAP,21008,false
21612,21598,21645,27,1,TAP,21686,false
21848,21848,21880,28,2,TAP,21912,false
22505,22498,22538,29,1,TAP,22588,false
22741,22731,22772,30,3,TAP,22809,false
24124,24115,24155,31,3,TAP,24183,false
24556,24548,24589,32,1,TAP,24619,false
24889,24881,24922,33,1,TAP,24957,false
25227,25215,25260,34,2,TAP,25295,false
25434,25431,25467,35,1,TAP,25517,false
25468,25465,25501,35,1,TAP,25519,true
25676,25665,25710,36,2,TAP,25746,false
25920,25915,25953,37,1,TAP,25972,false
26161,26148,26194,38,3,TAP,26212,false
26363,26348,26394,39,2,TAP,26440,false
26830,26815,26863,40,2,TAP,26891,false
27005,26998,27038,41,1,TAP,27085,false
27244,27231,27276,42,2,TAP,27324,false
27712,27698,27745,43,3,TAP,27778,false
28016,28015,28048,44,2,LEFT,28074,false
28843,28832,28875,45,2,TAP,28905,false
29074,29065,29106,46,1,TAP,29131,false
29273,29265,29305,47,2,TAP,29356,false
29508,29498,29541,48,1,TAP,29579,false
29745,29732,29778,49,3,TAP,29807,false
29977,29965,30008,50,2,TAP,30031,false
30433,30432,30466,51,2,TAP,30483,false
30641,30632,30674,52,1,TAP,30709,false
30880,30865,30913,53,2,TAP,30934,false
31218,31215,31251,54,1,TAP,31270,false
